1699253342# #天津助学金当事人不认可调查结果这学生会不会因此被开除了并不简单
1701704703# #五月天否认假唱这一段，一听就是真唱！
1690709839# #脑子好痒，我的头呢笑cry人类的迷惑行为
1697299676# #以军方回应路透社记者身亡加沙的医院人满为患，战争远比我们想象的残酷！
1690730318# #真实的缅北边境现状如果你看过云南的边境线，如果你了解过云南的禁毒史，如果你见过卫国戍边的云南边防和每一个守护在边境线上的工作人员工作的样子，如果你吹过云南的风走过“一二一”，如果你感受过当年滇军拼命守护的祖国大地，如果你知道国立西南联大……我想，你一定说不出口那么愚蠢又让人心痛
1688438073# #律师称蔡徐坤可能被列为劣迹艺人好家伙，蔡徐坤塌房，别人脱粉，他涨粉50万doge
1692607063# #奶奶起身吃力3岁狗狗甘当拐杖市民狗先生撞见喵帮火拼，感叹当狗太难了！
1687681284# #浙江高考状元这也能算偏科吗？
1690126578# #男子讨要17万债款不成反被卖到缅北缅甸逃跑少年被抓现场，少个胳膊少个腿，是至少的！
1700636510# #BLACKPINK被英国国王点名的反应四位成员热度排名，Lisa还是第一666
1700897008# #白鹿复古鎏金裙都是盛装出席，也都是鎏金裙，你们能get到谁呢？
1700327440# #黑莲花上位手册听说禁止了，不知道什么原因，能看到的，很幸运👍
1695173451# #液体猫和固体猫市民狗先生撞见喵帮火拼，吓得它一激灵！
1702780829# #东方甄选恢复直播位列带货总榜第一颜值在才华面前，真的不值一提，我cpu还没转过来，董宇辉却对答如流！
1699007911# #加沙男子痛失21名亲人遭英主持人无脑追问这一跪，便是永别！
1687837116# #狗仔直播连麦蔡徐坤粉丝怎么感觉蔡徐坤现在还是稳得一批啊！代言方面，没有一个品牌终止合作，粉丝方面，目前没有看到大粉跑路思考
1700879286# #钻超的女明星，人气都是实打实的，目前只有6位：赵丽颖、迪丽热巴、杨紫、虞书欣、鞠婧祎、赵露思！
1689934994# #上海暴雨很大吗？这是雨吗？倒水是吧！
1702006086# #阿信黑暗过去了逻辑感人，巴黎真唱，其它城市，也是真唱666666666
1695964915# #Lisa疯马秀结束后的Lisa，怎么变成了这样傻眼
1688356566# #蔡徐坤回应内娱不用陪葬了，你也不用退出国籍了！doge
1695012233# #台媒称103架次解放军军机在台海周边活动舌战群儒，李敖与学生代表辩证“一国两制”是台湾最好的出路！
1698728002# #中方呼吁巴以冲突方立即实现人道休战原来万箭齐发是这样的，实属被震惊到了！
1688364699# #蔡徐坤照片不是我网友说，已经开始有吴签那味道了吃瓜
1695950144# #月饼今年卖不动了今年的月饼不配刀叉，是要我拿刀切吧允悲中秋节
1687881180# #萧敬腾求婚林有慧6月27日，36岁萧敬腾求婚50岁经纪人，“希望这一天没有让你等太久”
1698210925# #国家发改委回应2024年放假安排怎么说呢，一年下来，其实也就放11天允悲
1692862108# #外交部就日本启动核污染水排海发表谈话日本的一意孤行，终将得到反噬，我哥斯拉第一个不同意！核辐射
1692265192# #当小猫感觉气氛不对不是说猫的反应，是人的七倍吗允悲
1700053362# #美国高中老师说中美合作对所有人都好那些刻在骨髓里的爱国主义！今天没有任何一个国家，敢跟中国在军事上较量！
1702616389# #东方甄选称昨日销售额创纪录罗永浩谈论董宇辉，希望新东方转型成功的同时，别忘了董宇辉并不简单
1699607640# #以色列巴勒斯坦冲突屠杀手无寸铁的百姓，都应该枪毙！
1692870934# #日本62岁渔民叹息被政府骗了群主发的大闸蟹收到了，有点生猛允悲
1701610321# #明年这5部男频剧，你们最看好哪一部？哇。张若昀《庆余年2》。王鹤棣《大奉打更人》。成毅《英雄志》。杨洋《凡人修仙传》。任嘉伦《武庚纪》
1690987599# #涿州抗日山东第一，唐山大地震山东第一，汶川地震山东第一，疫情期间山东第一，祈祷平安
1702448301# #国家公祭日南京全城默哀一分钟当抗日老兵知道采访的是日本记者时，他眼神的杀气，一点也压不住！
1688023664# #蔡徐坤我就服蔡徐坤，塌房冷处理三天了，粉丝不减，反倒涨了27万，将近40个品牌代言，目前没有任何一家解约赞曝蔡徐坤妈妈找到中间人
1691049211# #失联蓝天救援队队员刘建民已牺牲看到这一幕，救援人员，真的很难
1702010018# #邓紫棋广州演唱会太美了，谁不爱呢哇
1702562292# #昌平线故障已发现30余人受伤乘客疯狂踹玻璃门，求救！
1691200581# #河南近百亿灾后重建资金出问题心酸又好笑！拉猪的车，变成了救援车，转移群众！
1701964655# #知情人回应狗主人锁狗被疯狂攻击我拒绝了，不知道主人没生意，狗狗会不会挨饿！
1696328878# #马伯骞在潮汕拍戏，谁看到了笑cry
1701347235# #星光大赏门票星光大赏出席名单，你们最期待谁呢？
1689783345# #印度吃席现场，干净又卫生，干了！
1688367350# #郑爽及其工作室被限制高消费爽子：关我什么事，我又没打掉孩子吃瓜
1690767418# #花花洗澡全国人民都知道了花花也知道自己是顶流了，都会拍照摆pose了笑cry
1697552548# #重庆明确规定禁养32种犬只怎么肥事！被套牢了
1703322376# #papi酱的婚姻模式超前有钱说啥都可以，没钱说啥都没用！
1687624179# #在俄华人讲述俄罗斯各地现状直击俄罗斯街头实况！瓦格纳叛乱，罗斯托夫居民质问瓦格纳士兵：“你们还有良心吗？”
1698648875# #烫杀狗店员所在餐馆被喷漆撒冥币流浪狗吃了路人给的食物，吐血中毒身亡了泪
1701875959# #假唱真唱真假混着唱，累了就放CD对嘴唱允悲
1698754495# #以色列拒绝联合国停火决议火箭炮的万箭齐发，三秒一座大山，夷为平地！
1689776431# #花花被游客喊胖子愣了1秒钟花花现在都学会摆拍了！
1699523617# #中国公民暂勿前往缅北果敢同盟军在诈骗园区，挖出来的尸体！
1703732254# #南方小土豆在路上，一眼就能分辨北方虎妞和南方小土豆允悲
1692937838# #缅甸逃回男子曝出活埋杀人视频男子花钱偷渡到缅甸，发现是诈骗，然后逃跑，被打断了一只手，再不听话，卸掉双腿！
1690816616# #黄子韬说只有鹿晗能让我取消行程徐艺洋当众说黄子韬穿假货，这………
1688207232# #消失的她票根还有隐藏刀看电影前是《消失的她！看完后，是《消失的他》
1694785217# #苹果官网崩了7天后，各位老总将会拿个他的华为，给包间的各位公主，疯狂扫码发钱笑cry
1702693047# #俞敏洪带队检讨易中天、倪萍、冯唐、樊登坐镇甄选直播间，就对俞敏洪旁敲侧击过，有些问题，你们躲不掉的！
1703753777# #雷军称决定造车时便登门拜访各家车企雷军：先礼后兵，干翻干翻友商！
1702395764# #再见周芷若你们是不是因为周芷若才认识周海媚的！
1695651508# #中国剑客绝杀日本跪地怒吼这三个小日子，是不是有点疯狂了！
1692860616# #福岛排放核污水地区瞬时辐射量增加日本这十个地区的食品和化妆品，最好别买！日本化妆品
1700230830# #4名缅北电诈头目为何2人户籍地在云南从缅北拉过来的电诈，人确实有点多！
1692709961# #七夕七夕在垃圾桶捡宝是真的，网友捡到了金项链一条傻眼
1692504581# #台湾当归台湾网红直言，台湾同胞就是中国公民赞
1701743862# #丁当为五月天发声怎么说呢，这个现场，一眼就能定真假！并不简单
1703170603# #难听难听吗？但是同时有46万人同时听，50万+收藏了，还有7万的点评了，你们觉得呢？江郎才尽了吗？疑问
1698567603# #去吃席，遇到明星了，王嘉尔身材是真的好哇
1689339802# #中国内地新增报告106例猴痘确诊病例所以，这个病，对普通人来说，没有太多影响，因为，99%是由男男引起的允悲
1701067513# #谈恋爱到什么程度才能结婚爱的暗号，你听得到！一场无声的告白，男孩向聋哑女孩告白哇
1699887654# #男子上厕所时马桶突然着火罐车气体泄漏冒黄烟，随车人员上车顶关阀门，直接被气体炸开！
1699270946# #四川某学院，两小伙打架，一个不小心，打了一套，人一动不动！
1691514220# #洪水过后居家消毒要注意什么洪水退去，一家人回家，二楼直接变成一楼，可想而知，当时的水位还有淤泥，得有多高啊傻眼
1692701213# #七夕文案在大家都不再纯粹去爱的年纪，我才刚刚笨拙地打开恋爱的门。
1687783982# #C女士与蔡徐坤方签谅解书鸡棚塌了，小黑宝无家可归！
1694704385# #外媒曝Lisa拒绝和YG续约这是在擦边的边缘，疯狂摩擦吧！
1701309765# #养了一只不着家的狗它真的可以假装做到听不到，跟着汪汪大队去玩笑cry
1699462705# #小狗认为摸头是世界上最幸福的事我救不了千千万万个它，但下个路口有千千万万个我！
1687945358# #已经第四了，好快，反正前三是没有任何问题的！消失的她
1700869811# #爱奇艺尖叫夜的每一排C位………
1692858878# #日本怪兽刺身上海多家日料店今晚生意火了多么的讽刺啊，日本还自己拍过核污染的怪兽doge日料郭帆用日漫讽刺日本
1700375736# #警方提醒捡到这种卡速销毁短短一分钟，体验到了快乐和痛苦！
1698636263# #以色列称坚决拒绝停火全球在战争的国家就有32个，可想而知，生在中华，是多么幸福的事！
1695133973# #研究生上课没有课本第一批兴趣班的上大学了，萨克斯演奏dancemonkey，惊艳！
1690527687# #杜苏芮强得离谱路径妖得要命台风过后，谁把井盖拿走了笑cry笑cry笑cry笑cry
1702830847# #张万森朋友圈下老登了早上教车闻，中午跳舞闻，晚上emo闻！
1690957938# #村民称很多人没把泄洪通知当回事都跑到剧院门口抓鱼了允悲
