1700519487# #开了三年还无法收本，那一定会倒闭！
1697441436# #辽宁体育局局长当选足协主席。。
1701643677# #主席小女儿李讷，家里的照片都是爸爸妈妈。
1696890478# #参加过辛亥革命的共产党人：李锡九，1922年秘密加入中国共产党，建国后任中央委员，河北省人民政府副主席。蓝公武，1904年加入光复会，1923年在北大任教，1931年开始积极支持中国共产党的秘密工作。1957年9月12日被追认为中共党员。1945年进入晋察冀解放区，先后任察哈尔省教育厅长，华北人民政府副主
1689769157# #演出即将开始！
1700743760# #志愿军老兵接战友回家！
1692329019# #师傅就是这么做的！骗了多少香火钱允悲
1691141895# #这些按摩椅是谁让搬进全国的各大机场、铁路、公路、水路候车室的？背后老板是谁？不知道这玩意特招人烦吗？
1696140468# #老百姓跟银行打官司，头皮发麻！许家印坑哭了多少倾其所有买房的百姓！
1689545106# #天空中的“三驴蹦子”允悲
1689384539# #出家人只要心中有佛～
1695123776# #文在寅前往医院看望李在明，劝他停止绝食，恢复健康。是啊，活着才能做事情，死了啥也干不成了。
1688603278# #人生的意义就是哪来哪去。
1693626692# #我发表了头条文章:《鞠躬尽瘁，死而后已的名相诸葛亮（1）》
1700035526# #当地时间14日，旧金山的风略微有点大。
1694980827# #10月19日，蒋介石在日记中研究军队战胜的基本条件，列出的条目有："提高人民生活，实行减租减息，反对剥削，反对压迫专制，反对侵略，反对汉奸，为平均地权，耕者有其田，实行民生主义而战。"蒋介石终于认识到共产党为民生而战的政治主张才是杀手锏。可惜，这一年是1949年。
1698584891# #我发表了头条文章:《现代散文名篇之四十一：李广田的《山之子》》
1695445634# #黑龙江省一人防办主任贪腐，动辄给女儿塞钱，一塞就是几十万，且特么还带着下属去，真是无知者无畏啊！
1703636037# #毛泽东年谱和毛泽东文稿原为内部发行，供研究之用，现经重新整理、增补、修订后公开发行。
1700090303# #去年的今天，石家庄率先走出疫情，提出“每个人都是自己健康的第一责任人”的口号，共和国历史上的一段刻骨铭心的记忆，值得纪念。
1690287585# #任免事项！
1695509511# #我发表了头条文章:《临危受命的丘吉尔（26）》
1702276954# #我发表了头条文章:《光绪皇帝（8）》
1694237591# #明白人！正像毛主席说的那样，封锁吧，封锁个十年八年，一切问题就都解决了！
1689503847# #这角度！哈哈哈哈哈哈
1688194159# #孩子的养父母不错，告诉孩子她的根在中国🇨🇳
1688283730# #时隔十二年了，冠军！终结小日本的五连冠！激动人心！祝贺中国女篮！
1689640895# #克拉玛依，新中国的第一个大油田！致敬！无私奉献祖国石油工业的那一代产业工人！致敬！祖国利益高于一切的那一代知识分子！
1693691278# #清朝，作为我国封建社会的最后一个历史长久的王朝，已经形成了庞大的官僚网络。清代官书上记载说，当时全国官吏的总数大约是3万人，数目远远大于宋、明两代。。作为专制主义中央集权制度的重要支柱之一，封建的官僚机构和封建军队一样都是清代王朝用来剥削和压迫人民的工具。。在当时，清人大约可以通过6
1695738411# #央视记者给巴沙尔念了三句网友的评论：。1、在废墟里也要仰望星空。2、展现给世界的不光是满目疮痍，还有无限生机和活力。3、请让玫瑰开满大马士革。。巴沙尔很是感动，他表示谢谢中国网友对叙利亚的爱。。我都被感动了，更何况巴沙尔赞
1695818820# #“中国越强大，世界越善良”；“中国越强大，小国才越有安全感”，这后一句话是巴沙尔说的。
1700685721# #毛主席一生乘坐过专列72次，每年大部分时间都在外地。有一年，他只有一个月在北京，其它时间都是在祖国各地视察、搞调研、开会。他的交通工具主要是火车，为了不给地方添麻烦，他几乎全部在火车上吃，住，办公和开会。
1698555501# #草木摇落，心梗出没，快来上课！
1703278251# #1955年，为推进合作化运动，毛泽东在北戴河亲自编写了《中国农村的社会主义高潮》。在按语中他肯定了王国藩的穷棒子社，“我看这就是我们整个国家的形象，难道六万万穷棒子就不能在几十年内，由于自己的努力，变成一个社会主义的又强又富的国家吗？”。毛泽东说：我是用十一天功夫关了门，看了一百二十
1701839731# #12月2日，11.25分，伯父走了，享年96虚岁。虽然住的近在咫尺，但我们谁也没接到通知，也没能送伯父最后一程，只因伯父生前有话：“丧事一切从简，所有亲朋好友一律不予告知。”。伯父12月2日走的，我是11月21日的生日，正如人们所说的，人死的时候会选择与他最亲最近的人的生日那天离去，最短的一天，二
1703827291# #珍贵的毛主席原声视频。
1701695638# #10年改造的溥仪。
1702343150# #我发表了头条文章:《光绪皇帝（9）》
1692836061# #“地瘦栽松柏，家贫子读书”这则古训，出自南宋名相陈俊卿。。南宋绍兴八年(1138年)的科举考试，高中状元和榜眼的均是莆田学子。。发榜后，宋高宗在光禄寺赐宴。宋高宗问道:“兴化有何奇特之处，能够同时两人高中状元和榜眼?”。状元回答:“披锦黄雀美，通印子鱼肥。”。而榜眼陈俊卿则回答说:“地瘦栽松柏
1695517446# #巴沙尔一家来访杭州亚运会，让人们想起了这个坚挺的巴沙尔合法政府12年来的不易。。叙利亚内战已经持续了12年，美国多次试图干涉叙利亚内政，支持反政府武装，但叙利亚政府得到了俄罗斯、伊朗等国的支持，成功挺过了危机。。叙利亚内战的胜利不仅巩固了巴沙尔政府的地位，还为中东地区带来了和解潮。叙利
1694834976# #9月9日那天，毛泽东生前的身边工作人员来到毛主席纪念堂，大家见面都哭了，时光荏苒，大家都老了…
1696991068# #拜登就巴以冲突发表讲话。
1697062797# #以色列空袭致联合国9人死亡！美国武器抵达以色列！。
1701125614# #蒋廷黻的《中国近代史》之军阀割据十五年。。民国元年(1912)的民国有民国必须具备的条件吗?当然没有。在上了轨道的国家，政党的争权绝不使用武力，所以不致引起内战。军队是国家的，不是私人的。军队总服从政府，不问主政者属于哪一党派。但是民国初年，在我们这里，军权就是政权。辛亥的秋天，清政府
1688888555# #大型双标现场会，互联网是有记忆的！
1695197909# #中俄坚定互相支持，俄方支持中国所有的核心利益问题上的正当主张，中方也坚定支持俄方捍卫自己正当的合理权益，捍卫你们国家的主权和民族的尊严。
1694132785# #大国总理！步伐坚定，面目从容。
1693864677# #我发表了头条文章:《临危受命的丘吉尔（8）》
1697013351# #被以色列空袭后的加沙一片废墟
1691663384# #网络时代真好！
1701578995# #我发表了头条文章:《多尔衮（14）》
1694322671# #发布了头条文章：《大唐诗歌，中国古代文学发展的最高成就》
1694529083# #这个厉害了！厉害赞
1695541756# #朝鲜女孩被杭州的美惊呆了，流连忘返，不停拍照。。我2017年去朝鲜旅游，朝鲜导游就说，他们最大的愿望就是到了年底评先进，奖励去中国旅游。
1704150668# #1966年国庆节，毛泽东在天安门城楼上谈兴正浓。这时跑进了一个小姑娘。钱嗣杰定睛一看，原来是林的女儿，她来到毛泽东跟前。双脚立正，喊了一声“毛主席”，然后举手敬了个军礼。钱嗣杰此时站在一边，觉得这个场面很好，只可惜这个举动来得太快，使得他一下子没有反应过来，等举起相机想抓拍照片时，女
1695553047# #韩国民众抗议逮捕李在明，首都交通全部瘫痪。民众呼吁李在明安心养病，好好休息（不知真假，请谨慎辨别）
1698630728# #总理非常了解民情，因此推动了异地就医直接结算！
1691552339# #1970年的中国街头。
1696644674# #2023诺贝尔和平奖给了她？为什么不是泽连斯基？
1704026331# #朝鲜劳动党八届九中全会召开，金正恩讲话，将朝韩关系定位为两个敌对国家的关系。并强调说，统一永远无法实现。
1696227142# #郑少秋风流倜傥，三段婚姻，生了四个丫头，除了与现任妻子的两个女儿外，那两个丫头活的都不开心可怜
1699660865# #国家发行一万亿国债，用于灾后重建。
1687605582# #俄“末日将军”喊话瓦格纳。
1696142855# #王军霞13岁的女儿打破学校800米记录，龙生龙凤生凤！
1690523507# #“岂有豪情似旧时，花开花落两由之”，这是鲁迅悼念杨杏佛的一首诗，毛主席把它送给了唐由之大夫，用来感谢唐由之为自己做白内障手术。。国医大师唐由之逝世一周年，大师千古！🙏🙏🙏
1701942120# #东北滑雪像下饺子笑cry
1692479232# #2019年，中央政府决定在深圳建立中国特色社会主义实验区，要把深圳建成国际一流城市标杆。如今四年过去了，深圳建的怎么样了？
1691138699# #赤脚医生，一个时代的伟大创举，为缓解那个时代我国农村缺医少药面貌做出了不可磨灭的贡献！
1700658897# #我发表了头条文章:《多尔衮（1）》
1702590840# #硬汉任正非说：“我们全是向毛主席学的”！一句话道出了华为成功的法宝！
1692327773# #沈醉回忆录战犯改造所见闻（48）。。我这个人是爱开玩笑的，有一次，我和沈蕴存合作抬土，我说："我能与我有三同关系的老兄合作，十分荣幸。"他马上把土筐放下，忙问："你不是证实我和你不是同行（同是搞特务）而只是'同学'，同姓沈，怎么能算是三同呢？"我说这一同，是同属"温情主义者"。他一听就乐了，
