1703760997# #“技术应该在车上，而不是在PPT上。”领跑汽车这是在内涵谁？
1702262413# #余承东怒怼懂车帝。。任何测试都应该建立在同一基准线上，如果中间搞小动作，那就失去了科学严谨的基本规则！。。测试平台的原则是……？
1698054427# #天玑9300和骁龙8Gen3你期待谁。。华为被禁三年，高通和发哥各自摆烂了三年，现在华为回归了，骁龙8Gen3和天玑9300应该不会再摆烂了吧？
1699023649# #中国大陆合法销售的iPhone15均为中国组装。。很好奇欧洲不要咖喱味的iPhone15，中国没有销售咖喱味的iPhone15，那这些咖喱味的iPhone15卖到哪里去了？
1702716094# #库克快来抄作业！iPhone15Pro操作按钮一键支付。。荣耀手机的智慧识码功能才叫先进啊！解锁手机后，将手机前置摄像头对准二维码就能跳出付款界面！可比iPhone先进多了！
1693829406# #“遥遥领先”居然也传到歪果仁那里去了！不过他们的中文得好好补一补！嘻嘻嘻嘻
1699591558# #没想到荣耀的AI字幕这么好用啊！。
1697501227# #贾跃亭称受到了很多不公指责。。AI创作的“贾跃亭的饼”，还挺有意思的。挤眼
1702005472# #做平后颜值确实上去了，但手机势必会变厚很多，就看厂商怎么舍取了！不过努比亚本身销量就不高，有试错的机会。
1688109584# #城市里的多巴胺风景。。昨天在家边上的小学操场上用手机拍的照片，是不是很有氛围感？
1691453368# #看了真想骂人！为什么有些人就是觉得捐款才是对灾区有帮助？还以此理由来喷华为！。。请问哪一次灾情时，华为是第一时间捐款的？。。华为作为通信公司，每次遇到灾情，都是第一时间派人进入灾区抢修设备，保障通信！而且华为每次都会无偿捐赠很多通信设备，实际成本比一些企业捐款的代价要大多！另外，华为
1697503155# #为何保时捷在中国卖不动了。。保时捷销量同比下降12%，LV销量暴跌、iPhone15也破发，“遥遥领先”却被疯抢，这不仅是中国年轻人消费观念变，不再盲目崇拜洋品牌了！更是中国制造崛起的表现！
1696037671# #华为的出现，带来的不仅仅是自己获得多少好处，而是它带动了我们整个供应链一起参与研发，带来的是整个产业的技术升级，老美害怕的就是这个。
1699075009# #问界的这个势头真是猛！10月破万，11月应该会破2万，十二月如果M9再加一把火🔥，看能不能破4万？
1702800151# #耀子调教上的能力可是众所周知，火龙888在荣耀的驯服下，性能表现得令人咋舌，让其他厂商只能羡慕嫉妒恨。。。这次，荣耀90GT再次展现出强大的实力，不仅拥有“满帧不设限”的特性，还具备护眼、光学防抖等多种实用功能。用GT产品经理韦骁龙的话来说，这些功能都一一具备，让人们期待不已。。。而且，这次
1694419037# #荣耀Magic5Pro用的虽然是高通U，但它却是支持隔空手势的哦！大家不要被人带偏了！软件层面的东西，没有这么难！
1691209921# #这大热天有点羡慕电车了，在家里可以远程控制把车的空调先开起来，等车凉下来再上车！我的途昂在这方面就差多了。
1703774597# #余承东问界M9问界M9在两辆重型卡车前后夹击下，依旧能保持框架稳定，确保成员安全！大嘴居然对自家的车做这种破坏性试验，这可能也是来自于华为的自信吧！
1691809577# #一台售价33万美元的房车值不值。。这车好是好！但在我们国家买来旅游不太实用！首先，开这车需要客车的驾照。其次，就是这车太大了，开到贵州、重庆、新疆这种地方去旅游，累死你。
1702560037# #今天我荣幸地成为荣耀Magic5Pro的MagicOS8.0内测版体验者，现在与大家分享一下更新后的使用感受。。。首先，更新后的荣耀Magic5Pro在系统流畅度上有了显著的提升，这次更新还新增了荣耀云空间，让个人数据有了更加安全、便捷的存储空间。。。我发现，华为云也在荣耀Magic5Pro上得以保留，这让我感到非
1701904406# #每天早起打卡。。大家早！明天可以去深圳浪了！
1700978621# #陈震VS韩路，。。你们支持谁？
1701232000# #电动车换电池的思路我一直觉得非常不错，解决了电动车的续航焦虑问题。。。不过换电系统现在投入的成本太大，依靠一个厂家肯定不行。。。如果有更多厂家会跟进的话，对电动车普及应该会有非常大的促进作用。。。你觉得电动车换电可行吗？。。吉利控股与蔚来汽车开展换电合作
1697165407# #Mate60系列供应商回应涨价。。华为供应商涨价的传闻，本就是市场以讹传讹的假消息，没想到被媒体当真消息大肆报道了！允悲
1699067937# #小米华为现身流浪地球3。。科幻电影其实就是展示一个国家的综合实力的时候，有这么多国内企业能够参与其中，非常不错！
1692488725# #IDC2023Q2国内折叠屏手机市场份额公布，华为依然是销量最好的品牌，荣耀则凭借MagicVS到了第五。。。华为就是华为！尽管华为MateX3存在4G、供应不足导致黄牛炒作涨价等问题，但它仍然在今年上半年最畅销的折叠屏手机。。。vivo和OPPO通过小型折叠屏吸引了相当多的女性用户支持。。。荣耀则凭借MagicVS获得了
1689145518# #微信称不会显示已读。。微信不会显示已读，但你有“对方正在输入”啊！。。如果对方发来消息，你看了后点击输入框，对方的聊天界面会显示“对方正在输入”！这尼玛就是个智障的设计！
1703564713# #现在厂商都流行提前开沟通会了？iQOO也给Neo9系列搞了一个！。。iQOONeo9Pro采用天玑9300得到验证，配备16GBLPDDR5X满血版和1TBUFS4.0，还有自研的电竞芯片Q1。。。这块自研电竞芯片Q1结合上自研的V-SR超分技术，在原神游戏中，可以实现1.5K分辨率和70fps30分钟以上的运行，性能相当强悍！。。iQOON
1691149977# #小扎成功偷家！。。马斯克把Twitter更名为X后，扎克伯格打算把Thread更名为Twitter！。。这种骚操作，也只有小扎能干出来！马斯克估计会被恶心到！
1703805370# #每天早起打卡。。兄弟们早安！2023年最后一个工作日，加油。。荣耀Magic5Pro
1703415672# #大嘴一不小心又说了大实话，很多人听了应该会不高兴，不过，大嘴怕过谁？嘻嘻
1702174485# #杭州二手房房东们要承担中介费了。。我觉得收中介费就有点不合理！我们就不能自己办各种手续吗？为什么一定要中介？让中介收取一笔中介费。要知道现在的房子总价高，中介费可是一笔不小的钱。
1688467680# #荣耀今年真是火力全开，已经推出了不少的机型，在618之前又更新了旗下的数字系列——荣耀90系列。凭借出色的外观和不错的配置，荣耀90系列在618期间获得了不错的销量，小猪近段时间就一直在体验荣耀90Pro这款手机，今天就来和大家一起聊聊这款手机的体验感受。荣耀90Pro数码测评
1704013429# #这么看，还真是这么回事啊！笑cry
1696636795# #传闻，荣耀MagicOS8.0系统将开始内测，会在系统的流畅度、隐私安全、多端融合、功耗等这些方面进行优化和修改。。。荣耀MagicOS系统一直被大家称为小鸿蒙系统，它的稳定性、易用性还有个华为的互通性一直被大家盛赞。。。相信荣耀MagicOS8.0会给我们带来新的变化和体验，你最期待它有什么新功能上线？
1700828137# #今天在武汉的街头逛了一天，作为一个杭州人，虽然不愿意承认，但我觉得杭州现在的城市氛围真比不上武汉。
1690777168# #“如果人人都懂手机，小米保证第一”。。“小米就是给不懂手机的人准备的”。。微博数码圈懂手机的应该不少，谁用的小米？
1698036632# #你对澎湃OS和小米14有哪些期待。。雷总能不能开个会再商量一下，1999交个朋友？
1701416537# #11月交付15242台，问界M7的交付量可以啊！。。现在制约问界M7的就是交付量了，能上一万五真是有点出乎我意料。
1699670559# #以后卫星电话功能将普及！。。中国卫星宣布，华为、小米、OPPO、vivo、中兴、魅族、荣耀等厂商的旗舰后面都会标配卫星电话。。。华为解决技术问题，后续转为供应链技术，加速普及，对普通消费者来说是好事！
1702810264# #大家是否在犹豫明年要不要更换为Wifi7路由器？尤其是考虑到新上市的安卓旗舰手机已支持Wifi7的情况下。。。目前来看，这可能不是必要的，因为对大多数人来说Wifi6仍足够使用，而且现在也没有需要大带宽的杀手级的手机应用出现，所以升级到Wifi7可能是浪费，况且现在大多数设备还不支持Wifi7。。。如果你有
1699603503# #猛啊！智界S7短短一天，预定就突破了5000台！。。真够火的！
1700554166# #华为的广告，出现的总是没有一丢丢意外！。。天玑8300
1700100928# #荣耀100真机来了，前后上岛，这颜值打几分？
1697066396# #每天早起打卡。。早早早！这班上的，看东西都模糊了！
1703054061# #手机自带音乐App有人用吗。。我用的是荣耀手机上自带的华为音乐嘻嘻，你们平时用的是什么软件听歌？
1695598815# #荣耀一大早就送了一个惊喜！这个功能真是爱死了！。。我的荣耀Magic5Pro一大早收到了172版本推送，开始看着升级没有什么太大变化，也没有太在意！。。但等升级完成，我打开微博后却神奇的发现，点击首屏的广告，它会提示跳转还是不跳转了！这功能简直太爽了！。。之前老是莫名其妙的转跳到其他购物APP，真是
1691987444# #已到北京，能和雷总面对面听他分享成长经历和感悟，机会很难得，我应该准备点什么？
1700743305# #荣耀100发布会，杨洋来现场了，真帅！
1690679029# #我移动的号码是8块钱的保号套餐，之前没有开GPRS网络开关，自从打开了GPRS网络开关之后，移动就来送我流量了，60GB每个月都用不完啊！。。感觉移动这是培养我的流量消费习惯，现在免费用的有多爽，以后收费就有多爽。嘻嘻
