1698363499# #乌克兰武装部队第25空降旅突击了俄军的一个阵地，俘虏一群俄国兵。俄乌战争
1696802577# #华尔街日报：伊朗帮助策划了哈马斯对以色列的袭击，并在上周一的一次会议上为袭击开了绿灯。以色列巴勒斯坦冲突
1701727230# #美国国务院发言人马修·米勒（MathewMiller）说，哈马斯拒绝释放所有被其扣为人质的妇女的原因似乎是因为恐怖组织不希望她们说出她们在加沙被囚禁期间的经历。以色列巴勒斯坦冲突
1689070798# #俄罗斯中将奥列格·尤里约维奇·佐科夫(OlegTsokov)在别尔江斯克附近遭遇风暴阴影点名，觐见斯大林去了。。。此前，其于去年9月在斯瓦托沃(Svatove)附近受伤，算是先报了个名排了个号，此番觐见是回不来了。俄乌战争乌克兰反攻
1694443770# #【军事情报称，乌克兰夺回克里米亚附近的海上钻井平台】乌克兰军事情报部门表示，它已经夺回了克里米亚附近的一些海上钻井平台。。。这些平台自2015年以来一直被占用，此后被用于许多军事目的-例如直升机的着陆点。。。这些平台被军事情报部门命名为“PetroGodovalets”、“Ukraina”、“Tavrida”和
1697199788# #俄占马里乌波尔发生巨大爆炸。俄乌战争
1690244115# #【巴赫穆特阵线最新战况】。。乌克兰军队成功地将敌人赶出了俯瞰克利希基夫卡的高地的防御工事，并保护了该地区。。。乌克兰军队越过运河，向安德里夫卡推进。俄乌战争
1698559691# #乌克兰海军陆战营127营成功突破第聂伯左岸俄军防御，在左岸有了立足之地。俄乌战争
1691196610# #乌克兰国防部副部长：乌克兰军队突破了俄罗斯南部的第一道防线。从地图上看是在罗博季涅一带。俄乌战争乌克兰反攻
1698311187# #伊拉克亲伊朗伊斯兰抵抗组织声称对袭击美国在“阿布哈贾尔机场-Kharabal-Jir”（很可能在鲁梅兰附近）的基地负责。以色列正式向哈马斯宣战
1692715114# #为庆祝8月24日乌克兰独立日,基辅主干道排列许多从前线运回来的俄罗斯战车和军用载具残骸,乌克兰人准备迎接庆典。俄乌战争
1698650680# #阿夫迪夫卡伏击战：乌军第36炮兵营"坚壁清野,以逸待劳"炮击俄军。俄乌战争
1696779432# #来自加沙和武装分子的新渗透设法到达232号公路，以色列安全部队正在与他们交火。。。在“阿克萨风暴”战斗的一次联合行动中，哈马斯圣城旅和卡萨姆旅猛烈射击YadMordechai定居点的车辆和榴弹炮。。。以色列战机轰炸了加沙市里马尔附近的国家伊斯兰银行总部。。以色列巴勒斯坦冲突
1702203935# #【打地鼠游戏：地鼠们都从地洞里钻出来，因为他们怕水淹】加沙北部越来越多的哈马斯武装分子主动投降，按照以色列国防军士兵的指示将卡拉什尼科夫步枪放在地上。以色列巴勒斯坦冲突
1704071340# #别尔哥罗德市的跨年焰火！俄乌战争
1702422530# #【以军合围汗尤尼斯市，当地哈马斯武装分子开始集体投降】12月11日，南下的以军第98空降师，与西进的第162装甲师，已在汗尤尼斯市中部会师。整个汗尤尼斯市北部，已被分割成不相连的二块。汗尤尼斯市哈马斯分子集体投降。以色列巴勒斯坦冲突
1695220818# #今天上午，在多瑙河三角洲苏利纳地区的一艘悬挂多哥国旗的船上发生了爆炸。这艘船受损，罗马尼亚救援人员带走了12名船员。船似乎撞上了水雷。俄乌战争
1699542556# #塞瓦斯托波尔发生爆炸，占领当局声称空中目标被击落。俄乌战争
1695801983# #【数百名哀悼者向在战斗中牺牲的31岁士兵致敬】。。昨天，在乌克兰士兵安德里·格林琴科的家乡苏梅地区绍斯特卡举行的葬礼上，数百人前来与他告别。。。乌克兰士兵抬着在安德里夫卡战役中牺牲的第三突击旅战友的灵柩。。。仪式上，有人看到这位31岁士兵的母亲斯维特拉娜·格林琴科在儿子的坟墓旁哭泣（最后一张
1689981047# #前俄罗斯军事指挥官伊戈尔·斯特列科夫（本名伊戈尔∙吉尔，是臭名昭著的皇俄分子）因击落MH17而被荷兰海牙法院判决有罪。此次因极端主义罪在莫斯科被捕（俄罗斯政府的批评者，经常批评晋凉）。。。2022年11月17日，海牙区法院裁定伊戈尔∙吉尔金对2014年在乌克兰东部MH17航班坠毁和298名乘客死亡案上有罪
1698278875# #顿巴斯前线满目疮痍。俄乌战争
1699101735# #加沙市的爱资哈尔大学遭到以色列战机轰炸和摧毁。以色列巴勒斯坦冲突
1695094389# #【俄军2名司机醉后相互打斗，随身携带的手榴弹爆炸，致3死2伤】。。在俄罗斯沃罗涅日州罗索什市，俄一汽车营从乌克兰执行补给任务归来，回到临时营地的司机们下车后，吃着酸黄瓜，喝着伏特加！。。在边喝边交谈中，司机安德烈与瓦西里一言不合打了起来。营长与主管军事和主管技术的二位副营长都来劝架。。。
1691215534# #【受损俄罗斯海军舰艇奥列涅戈尔斯基矿工号的卫星图像显示可能漏油】。。被乌克兰无人海上无人机击中的俄罗斯船只在新罗西斯克港被卫星图像捕获。。。从受损船的后部（船尾）可以看到一个黑色斑块，这可能是漏油。一些分析师说，它也可能是从发动机上旋转出来的油污。。。行星实验室的卫星图像是在当地时间今
1691021327# #克里米亚，乌军导弹抵达格瓦尔杰斯科耶空军基地，俄罗斯联邦第37混合航空团驻扎于此。俄乌战争乌克兰反攻
1690330341# #联合国官员在以色列特拉维夫辛勤工作，朗朗乾坤居然也不拉个帘儿，联合国没有纪委吗？那可是全世界纳税人的贡献，查一查是那国人。联合国
1691164999# #中国政府欧亚事务特别代表李辉将赴沙特阿拉伯城市吉达出席乌克兰问题国际会议。黄鹅会不会急眼？哈哈俄乌战争
1700801852# #感谢，悟道中。
1696845255# #国防部长约阿夫·加兰特：“我已下令全面围困加沙地带。将没有电，没有食物，没有燃料，一切都关闭了。我们正在与人类动物作战，我们采取了相应的行动。。。下图阿什杜德刚刚报告的火箭袭击。。以色列巴勒斯坦冲突以色列空袭加沙地带
1692620396# #乌克兰国防军在罗博季涅东南至马拉·托克马奇卡南部取得了成功。从地图上看距离托克马克还有10多公里。俄乌战争乌克兰反攻
1698477683# #乌克兰卫国战争一周年，巴赫穆特地区第三突击旅清理阵地上的残余俄军。俄乌战争
1697115321# #布林肯在以色列：至少有25名美国人在哈马斯大屠杀中丧生。以色列巴勒斯坦冲突
1698475579# #10月27日四艘散货船离开了敖德萨港-MANASSAQUEEN和PROPUS（均悬挂巴拿马国旗），GLORIAG（利比里亚国旗）和IASOS（土耳其国旗）。俄乌战争
1703417395# #网传刘院长已卸任，还有谁敢说实话！a股大跌
1698852231# #乌克兰军方袭击了别尔哥罗德地区克拉斯纳波利亚纳附近的无线电中继站48Ya6-K1Podlyot。俄乌战争
1696329448# #乌克兰Mig-29喷气式战斗机在扎波罗热地区击落俄罗斯无人机。俄乌战争
1698767109# #今天上午，以色列国防军铲平哈马斯官员Salehal-Arouri在拉马拉附近Arura镇的一栋住宅。。。此次行动系列根据10月27日中央司令部司令耶胡达·福克斯少将签署了拆除令实施的。以色列巴勒斯坦冲突
1697240583# #乌克兰武装部队总参谋部在晚间报道中说，乌克兰防空系统击落了Su-25飞机和Orlan无人机。俄乌战争
1690281620# #俄罗斯Ka-52直升机在乌克兰东部被击落。俄乌战争乌克兰反攻
1694645801# #帕希尼扬：由于乌克兰冲突，亚美尼亚当局不能再依靠俄罗斯联邦作为其安全的保障。俄乌战争
1702508716# #在奥斯陆举行的第二届乌克兰-北欧峰会上，丹麦、冰岛、挪威和瑞典首相以及乌克兰和芬兰总统签署了联合声明。北欧五国继续支持乌克兰的正义事业。俄乌战争
1699229663# #俄罗斯国防部称，乌克兰武装部队于4日向刻赤“海湾”造船厂发射了15枚巡航导弹。俄军防空系统击落了其中的13枚，造船厂内停泊的一艘舰船被巡航导弹击中受损。。。乌克兰空军发言人伊格纳特4日在乌克兰电视节目中宣称乌军击中的是俄黑海舰队最新型的22800型“阿斯科利德”号小型导弹舰。根据俄黑海舰队发
1691637157# #乌克兰军方在新卡霍夫卡袭击了俄罗斯军队的指挥所。俄乌战争
1688360545# #乌克兰国防部副部长报告说，俄罗斯袭击了比洛霍里夫卡和谢列布良卡，称情况很复杂。俄乌战争
1699661783# #以色列空袭黎巴嫩南部的真主党武装目标。以色列巴勒斯坦冲突
1688826336# #乌军第28旅战士们在火炮和迫击炮的支援下，成功将俄军赶出了巴赫穆特以南的林带。这场战斗异常激烈持续了一整天。俄乌战争巴赫穆特乌克兰反攻
1703405371# #以色列军队周六宣布在加沙地带的战斗中丧生的八名士兵死亡，使对哈马斯的地面攻势中被杀的士兵人数达到152人。以色列巴勒斯坦冲突
1699488433# #克伦尼（克耶）邦人民国防军（PDF）在将坎帕特从军事统治下解放出来后，视察了该镇的一个废弃军政府营地。缅北多地爆发激烈战事
1689245963# #短兵相接。
1698536705# #以色列国防军参谋长赫尔兹·哈勒维中将在视频声明中说：“自战争开始以来已经过去了三个星期。这场战争是有阶段的，今天我们进入了一个新阶段。我们的部队目前正在加沙地带开展地面行动......这有助于实现战争的所有目标，解散哈马斯，边境安全，以及将所有人质送回家园的最大努力。战争的目标需要地面
1697200316# #在以色列警告即将发动袭击后，哈马斯正在阻止平民离开家园。加沙市的另一个消息来源证实了这一点。当我通过短信询问时，一名哈马斯高级官员否认这种情况正在发生，称其“技术上不可能”。。。以色列军方发言人丹尼尔·哈加里少将在新闻发布会上说，哈马斯应对不从加沙地带北部撤离的平民造成的任何伤害负
1690261983# #房地产只看这一家，其他的都是帮别人接盘。$张江高科sh600895$
1699355300# #以色列军方说，第36师的部队指示空军袭击圣城医院附近的一座建筑物，一些哈马斯特工被藏在那里。以色列军方说，该建筑也被用作武器库。以色列巴勒斯坦冲突
1692571069# #【俄乌战争最新战况】。。◆巴赫穆特阵线。。乌克兰军队沿着M-03高速公路向伯希夫卡推进。。。乌克兰第92机械化旅的坦克袭击了巴赫穆特以南的俄罗斯阵地。。。乌克兰军队袭击了安德里夫卡以北的俄罗斯阵地。。。俄罗斯大炮炮击了安德里夫卡以南的乌克兰车辆，揭示了乌克兰在定居点以南的收益。。。◆阿夫迪夫卡
1696833930# #战机轰炸了加沙地带中部努塞拉特难民营的一所房屋。以色列巴勒斯坦冲突第六次中东战争会爆发吗
1694305846# #9月9日金毛访问乌克兰，利沃夫大学为他颁发荣誉博士证书，金毛还是挺有担当，至少带领英国履行了《布达佩斯备忘录》的义务。俄乌战争
1703553324# #乌克兰总统泽连斯基向该国人民的讲话：圣诞节前的夜晚是一年中最长的夜晚。然而，白天已经开始变长，光线已经开始占上风。光线越来越强。日复一日，黑暗一步一步退去。黑暗终究会失败。邪恶必将被击败。今天，这是我们共同的目标、我们共同的心愿、我们共同的祈求。为了我们的自由，为了我们的胜利，为
1695220724# #乌克兰国防情报局报告称，9月18日，莫斯科州契卡洛夫斯基空军基地有两架俄罗斯飞机和一架直升机受损。。。乌克兰称，一伙不明身份人员在一个戒备森严的空军基地放置了炸药，炸毁一架AN-148和一架IL-20飞机（均属于俄军354特种用途航空团）以及一架MI-28H直升机。。。AN-148是客机，IL-20是电子侦察和
1702093364# #分享图片
1695036374# #【乌克兰国防军已将巴赫穆特至克里斯基夫卡以南的地正解放，俄军乌里扬诺夫斯克第31近卫空中突击旅指挥官安德烈·康德拉什金上校在被击毙】。。乌克兰在监听“俄罗斯卫队”总局副局长亚历山大·霍达科夫斯基时，发现了他在国际文传电讯频道上宣布了一条坏消息。他写道：他今天得知了一名绰号为“多瑙河”
