1650668899# #人应有志，勤学，作事要有恒心。。曾国藩
1677849861# #【诗生活】爱有多深，思念就有多长吴山青，越山青，两岸青山相送迎，谁知离别情？君泪盈，妾泪盈，罗带同心结未成，江头潮已平。——宋·林逋《长相思》遇见艺术
1654312998# #《周易》云：“地势坤，君子以厚德载物。”一个人的德行，如同土地一般。土地若是不厚，不能承载世间万物，做人若是无德，得不到人心守护。正所谓：“德者才之主，才者德之奴。”为人处世中，永远以德为先，有德之人，人皆爱之，无德之人，人皆厌之。。。德，不仅藏着一个人的修养，更能看出一个人的福气
1700562152# #转发微博
1663853249# #北斗星链，网络安全，军工！。都打了快一年了，为什么俄罗斯就是打不赢乌克兰？。。据现有信息资料显示，美国几乎所有网络科技公司都参与了俄乌战争，战争还未开始俄罗斯的所有网络信息就被美西方全部单方面屏蔽，而乌克兰则能从美西方实时获得来自俄罗斯详细的情报，在乌克兰看来俄罗斯就像一个小透明，
1666012114# #喜欢入会，希望对你有帮助
1677396361# #周易生活常识。男人之荣，主有官杀并食、财；。女人之贵，主清、纯、奇、不杂。
1666007122# #伍佰&ChinaBlue《我会好好的》
1658225513# #股市常识这些大V敢冒天下之大不讳！继续在坑蒙老百姓,占领华尔街运动是以美国老散户为主引导全球散户举行的反对市场主力行为的游行。主题研究《为何我永远是90％》，其中的结果以散户失败但是也增加了散户的股市知识，加速了散户离开股市的一个重大事件。『温铁军解析占领华尔街原委』
1658135077# #转发微博
1670595763# #关于修改《网络预约出租汽车经营服务管理暂行办法》的决定，对未取得网络预约出租汽车运输证、驾驶员证从事网约车经营活动等行为的罚款数额予以下调。明确了！下调或取消
1696157845# #转发微博
1684550242# #刚谢幕的哲库，在造芯的“马里亚纳”征途中，倒在了4纳米制程前。当然，这也意味着200亿人民币（OPPO官方披露），或者说100元面值230吨钞票，沉没在了地球海洋的最深处。
1689819268# #刘欢《少年壮志不言愁》
1661533202# #你的马步低一点你就赢了。。一教授与农民在火车上相对而坐，无聊之际。。。教授说：我出一道题，你若不知，给我5元；如果你出一道题，我若不知，给你500元如何？。。农民同意。。。教授问：月亮距地球多远？。。农民一言不发递给教授5元。。。农民问：上山三条腿，下山四条腿，是什么动物？。。教授苦思无解，无奈给
1656285482# #《自己正常行驶，被别人撞了，该怎么办？》自己正常行驶，被别人撞了，该怎么办？
1702552096# #2023年12月14日国家医保局基本医疗保险药品目录调整工作结束。有126个药品新增进入国家医保药品目录，1个药品被调出目录。国家医保药品目录内药品总数达3088种，其中西药1698种、中成药1390种；中药饮片仍为892种。
1680481271# #3月31日晚，中国网信网发布公告，为保障关键信息基础设施供应链安全，防范产品问题隐患造成网络安全风险，维护国家安全，依据《中华人民共和国国家安全法》《中华人民共和国网络安全法》，网络安全审查办公室按照《网络安全审查办法》，对美光公司(Micron)在华销售的产品实施网络安全审查。
1701487036# #英伟达第二财季报告，主营业务：数据中心、游戏、汽车同比大增，
1657808470# #分享图片
1660483604# #八道菜。浅烘咖啡15克粉，粉水比1：13，三段，两分内完成，再按自己口味调整。有涩味一般是豆不新鲜，烘焙失败和过度萃取才会有这种感觉。
1651201614# #赵雷《鼓楼》
1662084622# #今天读到马克吐温的一句话，我以为是金句：人类不是被一无所知的事所累，而是被深信不疑的事所累。
1693245918# #无语啦
1657064799# #生活常识。吾人三省其身，26条神圣品质：仁慈、安详、诚实、恬静、不犯错、宽宏大量、温和、清洁、没有拥有感、所有人的祝愿者、满足、顺天意、没有渴望、简朴、坚定、自我控制、食量适中、神智健全、有礼貌、没有骄傲、严肃、富有同情心、友善、有诗意、精到、沉默。
1677946591# #转发微博
1698609570# #『【招商策略】拐点确立，绝地反击——A股2023年11月观点及配置建议』从当前的产业趋势、资金偏好和未来四个季度盈利趋势来看，全社会的智能化，财政开支加码和地产改革预期是驱动盈利向上的关键产业因素，相对应的推荐是，电子、计算机、家电、汽车、有色金属。从赛道的角度来看，我们建议投资者关注
1669605610# #网络不是放纵的地方，是修行的好地方！
1671859537# #关于红军长征，长征的意义，你应该了解什么？
1657848938# #苏联视角下的珍宝岛事件……
1658029893# #八道菜
1666691885# #深呼吸是在说我嘛？傲不可长,乐不可极,志不可满。
1677747646# #转发微博
1684781902# #【2023年退休人员基本养老金上调3.8%】基本养老金上调3.8%有何重要意义人社部、财政部22日发布《关于2023年调整退休人员基本养老金的通知》，明确从2023年1月1日起，为2022年底前已按规定办理退休手续，并按月领取基本养老金的企业和机关事业单位退休人员，提高基本养老金水平，总体调整水平为202
1672938504# #股市常识如何选择基金！
1663858652# #生活常识。生活不能等待别人来安排，要自己去争取和奋斗。不论结果是喜是悲，你总不枉在这世界上活了一场。『《平凡的世界》最经典10句话，藏着路遥一生的智慧』
1681324903# #　　人生之路没有统一标准，适合自己的才是最好的。正如有句话说到：“一个人的人生定位在哪里，心里装的坐标图就在哪里。
1669176240# #希望儿子能守正！
1688935660# #转发微博
1658251240# #转发微博
1660035897# #刘欢《弯弯的月亮》
1658666600# #不得不佩服古人的智慧，把古代地名叫得那叫一个好听。一起看看这几十个城市的古今名字，你最喜欢哪个名字？鲜花
1651902775# #八个菜只要你家里有碗，就能学会红糖发糕微博厨房大赛厨神养成记
1685525512# #【24小时内北上深接连发布重磅文件！支持人工智能发展】短短一天内，北上深三地接连发布关于支持人工智能产业政策文件。(来自
1693244793# #水木年华《会有那么一天》
1690138514# #转发微博
1666394167# #顿悟，英雄不立危墙之下！比喻:不入股市、不入赌场、不沾毒品也是从英雄不立危墙之下顿悟出来的。下文内容不差，只是喉口令人不爽！宁有指点之意，多谢啦！
1669620217# #28日，沪指全天维持弱势震荡格局，截至收盘，沪指跌0.75%报3078.55点，深成指跌0.69%报10829.08点，创业板指跌0.46%报2298.80点；两市合计成交7584亿元。盘面上看，酒店、旅游、机场等板块逆势走强，银行、保险、证券、半导体、煤炭等板块走弱；概念股方面，虚拟电厂拉升，电子身份证、汽车芯片等概念
1681700957# #NicolasdeAngelis《莫扎特：第40交响曲》每日30首）
1681486726# #诗词传花一一积。王充《论衡》--《状留篇》中的句子：。“故夫河冰结合,非一日之寒；积土成山,非斯须之作。
1672924422# #WienerPhilharmoniker/CarlosKleiber《SymphonyNo.5inCMinor,Op.67-I.Allegroconbrio(CMinor)(C小调第5号交响曲，作品67)》
1677256819# #【西方主流媒体就“北溪爆料”集体沉默，知名国际学者：“真丢人”！】是美国炸毁了北溪天然气管道！普利策奖得主、美国资深调查记者西摩·赫什的这一重磅爆料在国际社会掀起巨浪，但奇怪的是，多日来美西方主流媒体仿佛突然集体失明，背过脸去，几乎绝口不提这篇报道。在接受我的专访时，美国知名学者
1674840579# #转发微博
1672165709# #转发微博
1702870753# #过客:。阳光来自太阳！人们爱阳光，在内心世界也有在喜欢黑暗的一角。。但不必站黑暗处厌恶阳光，处于阳光就遗去黑夜。平常心论处，在阳光之时，我们爱劳动，在黑夜我们要休整。少做违背良知事，事事愉快。生活常识
1694874915# #转发微博
1668659961# #转发微博
1691894850# #任正非：狼不是一个人去吃老虎，是带着一个狼群去吃老虎。
1702824303# #艺术来源于生活，却高于生活。2019年今世缘（603369）就搞死好多人。
1663731985# #生活常识理解万岁！。致以独特生活方式活着的人群。但从根本上看是因为他们丟掉基本人类社会行为，当然也有一部分人是主观，也有一部分人是被动的。。独来独往的(女)人，永远不要去指责一个你并不了解的(女)人太独特、太强势，因为你根本不知道，在她孤立无援，需要保护时，
1664466698# #转发微博
1677835473# #股价异动九牧王异化→
1695519738# #这个假期，总要去一趟增城吧，在天空之境的荔湖碧道散步，在千年不倒的荔枝枯木下钓鱼……
1657438696# #斯里兰卡陷经济危机总理承认“国家破产”→
1685688713# #飞翔9528在美的集团吧发表了:618空调预售，第一名小米，第二名华凌，第三名美的，第四名海尔，第五名TCL，格力前五都没进。(来自
1674696854# #美股尾盘拉起来了！老九油气也拉起来了
1694884783# #转发微博
1663130638# #哈维：巴萨比拜仁表现更好比分不能反映比赛情况，虽然说是一次但是呢，从莱曼在场上的表现呢，说明哈维还是没有考虑周到，因为莱曼是一个成熟的人，不可能一上场就对旧主下狠手，所以呢，在上半场巴萨丢掉了三个毕竟的机会，应该一样，莱曼替补才是正确的
1684912646# #默默与密密。最有魅力的妻子是相夫教子？。默默地把本职工作做好，默默地把家庭搞好，忠于家庭。。最有魅力的先生是勤奋努力？。密密地把工作做好，密密把家庭搞好，忠于家庭。
1691242625# #股市常识。小赌怡情，刀子割大树，也许是股市散户唯一一条活道。
1671266244# #转发微博
1667146392# #余华在《活着》中这段话说的真好：“曾经以为老去是很遥远的事，突然发现年轻已经是很久以前的事，时光好不经用，抬眼，已是半生。。这烟火人间，事事值得，事事也遗憾，该用多懂事的理智去压抑住心中的不甘与难过。”。。.
