1691972540# #投资是令人激动和愉快的事，但如果不作准备，投资也是一件危险的事情。
1695942179# #短线七大招，短线经典技巧，八张图文解析，值得学习收藏。
1697989125# #码住慢慢看！
1692946080# #哈哈哈
1694388350# #码了
1700369851# #同事很难成为真正的朋友！
1696860806# #转发微博
1701855159# #赞
1703740902# #很好的操作演示，太棒了
1697904954# #美、英合拍谍战/动作/惊悚大片《谍网暗战》（超清院线版）
1698151100# #允悲允悲
1699706022# #真是服了，怎么开的车呀！
1699271701# #赞赞
1697721013# #转发微博
1699706046# #赞赞
1695398907# #转发微博
1693199447# #好听，码住。
1702905205# #收藏学习
1687672465# #码住慢慢看
1698632799# #转发微博
1688916938# #转发微博
1698728094# #允悲
1695701988# #哈哈哈哈哈哈
1692372774# #外国讽刺漫画欣赏——男人，不要得意的太早！
1695370378# #平平无奇的小白T如何穿出辣妹风？
1695133331# #这女孩长得好像景甜！
1703998549# #码住试试吧
1700880323# #转发微博
1697985964# #收藏起来慢慢看
1691629673# #短期利空，长期利好！
1702822064# #讲的真好
1702043908# #赞
1694963374# #转需！
1688569975# #转发微博
1699114591# #赞赞
1704172981# #赞
1699367412# #转发微博
1691455860# #关注公用事业的投资机会：煤价仍在震荡期，关注新型电力政策。电力龙头估值长期低位区间，预计23Q3盈利上行。我们认为火电23年Q1盈利筑底提升，政策支持下盈利好转是趋势。海外电力龙头PE普遍在20倍左右，国内火电投资机会明显。。。建议关注：火电弹性（浙能电力、皖能电力、华电国际、大唐发电、华能国
1696141587# #转发微博
1691967222# #投资别人不如投资自己，让自己变得优秀，变得强大，自然会吸引更多有价值的朋友。物以类聚，人以群分！
1693315246# #男人有钱就变坏！
1702480313# #转发微博
1699173936# #破防了。。。
1700841318# #转需！
1700569405# #转发微博
1696324748# #懒惰是个很奇怪的东西，它让你以为那是安逸！
1701006723# #赞
1692432193# #有能力的人，从不抱怨环境！
1694255758# #今日最佳微博。
1700663962# #太恐怖了
1696326899# #转发微博
1699272099# #收藏学习
1700748321# #不要欺负老实人，不然连道歉的机会都没有！
1698912446# #如何在低谷时成为最好的自己？
1698754718# #码
1687252737# #只能说很震惊
1699673988# #说得很好good
1696407026# #一个被演戏耽误的歌手，她要是好好唱歌的话，一定会成为一个被唱歌耽误的演员
1700235079# #哈哈哈哈哈哈哈哈
1693452777# #【图解】MACD指标波段操作（二）-DIF用法二，收藏备用。
1703779819# #马住！
1698208968# #赞
1698393484# #转发微博
1699540775# #你还未当家，家务非常烦，非常累，好不容易收拾好了。。。心里着实窝火，特别是对方屡教不改。。。我回家总是小心翼翼地。。。
1699693199# #转发微博
1695193805# #转发微博
1702721292# #董宇辉的流量太大了，和东方甄选互相成就吧！
1694180666# #转发微博
1694939234# #趁着年轻都应该多运动
1698479037# #赞
1696762475# #转发微博
1700973470# #码住慢慢看
1695007989# #自学中医已有12年，基本把古今名医著作都看完了。分享下看过的好书：。先看黄元御的四圣心源，明白左升右降的道理，知道人得病的原因是什么！。看完以后就看伤寒论注解，名家有胡希恕，刘渡舟，李克绍，曹颖甫，多多益善，真理都在字里行间，全凭一个字悟！。张仲景黄元御张锡纯胡希恕刘渡舟李
1699289377# #英国经典犯罪片《浴血黑帮》紧张刺激完整版
1698846152# #郭德纲于谦相声：《爆笑大返场》，破纪录的返场了25次！
1694929760# #收藏学习
1691974694# #请谨记：通常，在几个月甚至几年内公司业绩与股票价格无关。但长期而言，两者之间100%相关。这个差别是赚钱的关键，要耐心并持有好股票。
1698124418# #金一南将军2023最新演讲：和平还是战争，合作还是对抗？听听！
1692770812# #实战经验分享：分时图出现什么样的走势，可以持股待涨？
1702014966# #码住
1699615090# #泪泪
1700123193# #码住慢慢看
1695298743# #涨见识了！绵羊猪，头一次听说……笑哈哈
1703223312# #码住慢慢看
1698293997# #允悲
1695360621# #说的不严谨，2016年灭的不是游资，是配资。吃瓜
1703858617# #先码后看！
1693137431# #哈哈哈哈哈哈哈
1688872425# #契约精神呢？
1693453843# #过去的差距太大。唉，现在也才到人家的十分之一，还有很大努力空间，还是得一门心思搞经济搞钱。
1698992314# #赞
1689836609# #A股三大指数今日集体收跌，截至收盘，沪指跌0.92%，深成指跌1.06%，北证50跌0.39%，创业板指跌0.99%。。。沪深两市全天成交额7856亿元，两市超4000只个股下跌，北向资金净卖买入3.47亿元。。板块题材上，互联网电商、酒店及餐饮、零售等板块涨幅居前，CPO、液冷服务器、存储芯片等领跌。盘面上，互联网电
1697337164# #转发微博
1693268928# #海通证券有色金属行业周报：供需向好，有色行业稳增长方案印发！。。贵金属：市场预期逐步调整，贵金属价格或有望回升。8月25日伦敦现货黄金1915.5美元/盎司，伦敦现货白银24.19美元/盎司，周涨跌幅分别为+1.2%和+6.1%。COMEX黄金1943.3美元/盎司，COMEX银24.29美元/盎司，周涨跌幅分别为+1.3%和+6.5%。
1699244411# #码住
1693724233# #码住
1688495211# #经典史诗级科幻片《阿凡达:水之道》中文字幕，码住。
1695130273# #汪苏泷演唱会现在也学伍佰了
1703314591# #全剧以老北京的裕泰茶馆兴衰历程为背景，讲述了20世纪初期至解放前夕北京的社会风貌及各阶层人物的不同命运。
1693838029# #选择双行向奔赴的！
1701866170# #码
1696433373# #收藏了听听
1694267774# #码住慢慢看
1702014976# #赞
1695344220# #9月美联储议息会议解读。本月，美联储暂停了加息，但年内可能会再次加息。在本次议息会议上，美联储决定将基准利率维持在5.25%-5.5%的目标范围内，同时维持其他相关利率水平不变，并继续实施缩表行动。根据加息预期点阵图，年内或仍有一次加息，明年降息幅度预期从100bp降为50bp。美联储对2023年美国
1697470332# #收藏备用
1699272920# #收藏备用
1694092758# #新疆是个好地方！
1701861870# #赞赞
1694327420# #满满都是感动！
1697962538# #夫妻没有隔夜仇！
1699104144# #转存
1689088398# #goodgood
1695722593# #赞
1696556828# #转发微博
1698931664# #码住
1696024204# #一个人的觉醒，。1％靠别人提醒，。99％靠千刀万剐，。心不死则道不生，。欲不灭则道不存，。心不苦则智慧不开，。身不苦则福禄不厚。。任何人的劝阻，。都不会让你大彻大悟，。真正让你如梦初醒，看透人情事故的，。只有经历、吃亏、受伤，。置之死地而后生，陷之亡地而后存。。人是唤不醒的，。人是痛醒的，是被打
1698244778# #赞
1700759784# #码
1698900908# #抿嘴一笑百媚生
1693463042# #钓鱼河边捡到一把小刀懂行的朋友帮忙看看是不是古董！谢谢🙏
1692833218# #转发微博
1703779876# #码住慢慢看
1695557988# #赞
1703637148# #赞
1700274662# #这种地方中国有很多，只是没人注意罢了。所谓的诗和远方就在身边，心静如水，周围全是光……
1687347497# #高分纪录片《拜占庭》完整版全4集，3小时29分钟，码住慢慢看。
1698886300# #转发微博
1692925380# #中银证券汽车热管理管路深度报告：新能源管路空间大幅提升，塑料应用高速增长！。。汽车热管理管路价值量提升，尼龙管路有望加速渗透迎来量价齐升。塑料管路重量轻、成本低等优势明显，以塑代钢已成为应用趋势，在部分位置开始逐渐替代橡胶管路。随着汽车电动化持续推进，热管理系统越来越复杂，加之热管
1703743191# #说一千，道一万，都不如抓人管用
1692107945# #一个传奇投资者的20年感悟：亘古不变的炒股铁律，收藏学习。
1698484023# #感觉很多人越来越敏感，敏感到吹捧想要女孩就是件值得大声说出口的事，想要男孩都要憋在心里才行，男孩怎么了？想要男孩就都是错的吗？
1697883869# #离谱！
1693725901# #中国的高净值群体有多少？。。9月1日，招行发布《2023中国私人财富报告》，描绘出一份中国高净值人群画像。。。【316万人资产超千万】报告显示，2022年，可投资资产在1000万人民币以上的中国高净值人群数量达316万人，人均持有可投资资产约3183万人民币，共持有可投资资产101万亿人民币，2020-2022年年均复
1702115234# #码住慢慢看！
1699636773# #码住慢慢看
1701237558# #赞
1696951013# #码住慢慢看！
1700742978# #段清波教授《从秦陵考古看秦始皇的理想》
1694180750# #允悲
1694154034# #新年后回上海工作，发现同组里36岁的技术大牛离职了，这才知道他卖房回老家了，在公司7年，年薪上百万，有上海户口，怎么说走就走了呢？。。开始我很诧异，就单独找他聊，问他上海房子都买了，为什么要回老家？技术大牛原本跟我关系还行，又想倾诉，就情真意切地回了我一大段话。。。技术大牛告诉我：他过
1698548177# #这算是千里挑一还是万里挑一？
1690344177# #听听
1702734515# #赞
1695968349# #码住慢慢看
1699075152# #转需
1701084664# #自从开了店，媳妇就闲不住了，真服了！
1700745701# #手动点赞赞
1688290452# #转发微博
1699367441# #赞
1702736904# #码
1700475946# #转发微博
1700653643# #这是说谁呢？
1701841551# #听一听
1694742368# #允悲
1694134650# #转发微博
1703127769# #你在A股的寒夜里大雪纷飞，我在余额宝的艳阳中四季如春害羞
1687238001# #美最新动作冒险片《速度与激情10》中文字幕，码住慢慢看
1696408284# #允悲
1699969297# #码住慢慢看
1696009002# #转发微博
1699761520# #码住慢慢看
1703322261# #确实如此
1696768236# #美国喜剧影片《不要抬头》中文版高清，码住慢慢看！
1692834638# #图解｜9种形态回调买入战法案例分享，建议收藏。
1688292629# #欧美剧情影片《黑暗侵袭》，码住慢慢看赞
1704172989# #先码后看
1694966807# #码住慢慢看
1692449956# #各位宝子们，中国的顶级食材是什么呢？
1687345122# #一口气看完毛主席得意之笔《四渡赤水》
1697955602# #允悲
1703326084# #码
1699404138# #手动点赞赞
1697884030# #转发微博
1697214839# #【图解macd指标】在用指标之前，一定要注意这个细节，往往很多人吃亏就吃到这里，什么意思呢？大家都知道要顺势而为，20线上方的标的比较强，而下方的往往就是下跌趋势当中，一律不碰，然后再用我们MACD这几个要点，结合20线的趋势和MACD、KDJ两种指标双金、双死，综合使用，准确率才会更高。
1691739592# #经典反转战法：看成交量教你判断股票上涨是反弹还是反转，实战干货，收藏学习。
