1691108533# #我去由彭昱畅侯明昊毕雯珺主演的《异人之下》已经空降有你期待的明星吗
1694077696# #华纳音乐对张艺兴的评价：全能音乐人。。你觉得他实至名归吗
1696991014# #我滴妈。。。何炅在谭松韵面前提了刘昊然。。。然后谭松韵说了欧阳娜娜。。。好抓马。。。
1695254078# #Jyp方面表示：李旻浩黄铉辰金昇玟发生交通事故取消米兰时装周行程李旻浩黄铉辰金昇玟出车祸
1691129951# #怎么大家都在说王源粉丝TFBOYS十周年上演唱会抢票的事。。。
1688357859# #蔡徐坤回应葛斯齐再次喊话蔡徐坤这次真的是要变天了看来这个回应还是没能让大家满意你满意了吗
1691207964# #网友统计了TFBOYS新歌字数王俊凯易烊千玺王源的字数都是180字真的是一碗水端平了
1690247851# #中粉为什么要这么卑微啊。。。
1695181342# #我滴妈时代少年团要去荒岛求生了？？你期待谁的表现。。马嘉祺宋亚轩刘耀文丁程鑫贺峻霖严浩翔张真源这是我的岛
1690422014# #金星认证王楚然和自己长得像笑死王楚然像金星王楚然又像刘亦菲那不就是金星老师像刘亦菲笑死王楚然宇宙吧这是
1692334457# #我滴妈顶流男友骑摩托车喜欢谈姐弟恋这不是就那个谁吗
1689296625# #网友总结了鞠婧祎白鹿两家粉丝交流的来龙去脉
1703945026# #白鹿穿背背佳白鹿这身材真的绝了苦涩苦涩苦涩
1688261323# #刷到王俊凯之前给王源写的信太好磕了王俊凯之前写给王源的信
1692948723# #网友偶遇王源来看无滤镜素颜状态打几分
1692931000# #茶颜悦色茶颜悦色因推文题目《努力努力白努力》引发网友不适，随后茶颜悦色道歉
1689386907# #孟宴臣下楼动图来看魏大勋孟宴臣下楼动图被帅到了吗
1691330947# #王俊凯王源易烊千玺你们对自己的期望全都实现了只有关于彼此的没有泪泪泪
1687051337# #鹿晗粉丝抱怨自己买了将近2000块的票最后还是在看台觉得很憋屈你觉得是不是粉丝要求太高了
1688708419# #王俊凯vs易烊千玺骑摩托王俊凯易烊千玺骑摩托你更爱谁的潇洒
1688129472# #黄牛自己拍盗版小卡？？？
1696120736# #刘宇巴黎时装周到达状态还是不错的你爱了吗
1693494980# #北京卫视湖南卫视浙江卫视江苏卫视安徽卫视都搜不到宋祖儿了。。。税务总局称会对宋祖儿开展税务稽查
1701939746# #刘宇宁新剧路透来看古装仙男
1695733853# #王俊凯迪丽热巴巴黎时装周同排看秀来看状态王俊凯巴黎时装周造型
1692077173# #我发现Jennie划水已经有一套专用动作了，就是低个头，手摸麦克风接收器（假装麦有问题），或者摸耳机（假装耳机有问题听不到返声），一次两次能骗别人，长期肌肉记忆骗自己。。。
1700744594# #娜扎秒了救命娜扎怎么美成这样苦涩苦涩苦涩
1699787988# #香港顶流男团MIRROR最新怼脸生图来了你爱了吗
1689489938# #完了。。真给泰国人学会怎么拍腐剧了。。。就这短短这个片段。。。我不信有人磕不到。。。
1687606669# #王俊凯易烊千玺G社生图王俊凯易烊千玺身材对比谁赢了
1691766975# #我的妈张艺兴也太真性情了采访时提到粉丝突然痛哭流泪你被他圈粉了吗张艺兴突然哭了
1697781200# #Lisa最新照片状态自从大批量粉丝宣布脱粉lisa后lisa开始放飞自我自暴自弃不知道的还以为是哪个菲佣。。。
1687683520# #黄旭熙才是真的人生赢家吧和女粉丝分享每天除了吃就是睡还能躺着拿钱
1691325613# #王源好像小王子救命王源怎么这么可爱
1699252862# #看完内娱红毯再来看看港圈红毯如何评价。。。
1693199832# #minji刘海造型来了有被可爱到吗
1689147455# #TFBOYS团粉不再让着王俊凯王源易烊千玺唯粉了也开始做数据了他们更想三个人在一起一辈子
1694672597# #杨幂粉丝质疑赵丽颖粉丝抄袭生日创意
1697188684# #任敏恋情猪系男友是趋势吗。。。
1701954170# #杨超越内场我去杨超越内场美得像手办
1702805946# #有种巴掌扇不进屏幕的无力感。红绸你看看你都在干什么！。我家阿音到底哪不配古晋怒清池宫第一癫姑就是你吧，这么见不得小情侣好嘛！气鼠我了！
1689817465# #我的人间烟火收视创新高好炸裂的男主。。。哥哥要求论述男主为何配不上女主。。。男主的方式是贬低女主。。。然后拉到同一档次。。。这样就配了
1699754855# #来看张晚意饰演的无法正常与人沟通的天才医生有点像翻拍版《良医》这演技算不算封神了
1690468580# #马嘉祺宋亚轩两家你好星期六应援来看灯牌数量谁家赢了
1688898444# #网友称王源身高貌似跟任敏一样高而任敏的官方身高为168。。。
1696547964# #卡琳娜也点赞了lisa疯马秀ins。。。
1698845799# #Angelababy张嘉倪被禁言。。。
1698237740# #好像确实有听过。。？
1691330965# #tfboys十年之约演唱会海底捞还不赶紧备菜？？？
1687942045# #柳智敏粉丝给柳智敏写信了她称柳智敏的人气比很多内娱艺人还要高。。。
1703901315# #江苏跨年晚会王俊凯王源刘宇宁机场图来了。。你更期待谁的舞台？
1691327071# #TFBOYS十年之约演唱会我滴妈演唱会外的人好多啊地上比地下的人还多了
1694587891# #我滴妈吴磊粉丝应援棒的应援词居然是：麻辣隔壁，死露一条。。网友称疑似在内涵赵露思这两家怎么这样了。。。
1699025621# #“有点想脱粉李瑞了”
1689825228# #杨洋回应近期争议杨洋是不是很真诚他回应外界争议：我觉得网络上的事情看一看就好，不要过多在意。要坚定地知道自己要什么、走什么样的路。对于我而言，就是踏踏实实地演好每一部戏，问心无愧！！！。。你被他的这段发言圈粉了吗
1702646226# #张若昀科目三偷偷练了吧我去张若昀也跳科目三了
1699618688# #成毅工作室出图这个表现力什么水平
1695820802# #微博音乐盛典原生大片微博音乐盛典众星原生感大片来了！真的好美！这个香芋田的环境看起来超级有感觉，仿佛能闻到新鲜出土的香芋的味道。乐事原切香芋片和薄切红薯片承载了对原生美味的追求，给我们带来了「原生般美味，自在又纯粹」的绝妙组合。这种原生感的切入方式真的太棒了！
1689820974# #丁真也要进军电影圈了将出演饶雪漫人气小说《小妖的金色城堡》改编的电影《永不失联的爱》你怎么看你期待了吗
1693558368# #李泰容大吧卡车李泰容大吧出事粉丝纷纷在骂李泰容是吸血鬼没担当现在韩娱粉都在喊李泰容滚出娱乐圈
1689993431# #TFBOYS演唱会主视觉公开王俊凯王源易烊千玺十周年演唱会视角来看表现力
1691208163# #TFBOYS新专辑配置好丰富啊王俊凯王源易烊千玺你会为谁而买TFBOYS专辑
1695172530# #你们s.m真的没人了吗网友称这样的为什么也能当爱豆出道啊？？？长得也太潦草了吧还有网友称Sohee长得像钟辰乐
1697592017# #今天才知道耽美里忠犬攻和渣男受的视角代入一下谁能不疯男嫂子
1703754528# #宋亚轩马嘉祺张真源三人祝福视频截图来了来看状态
1700616402# #BLACKPINK出席白金汉宫宴会BLACKPINK全员出席查尔斯在白金汉宫为伊金举办的欢迎晚宴，并被英国王表彰你被谁美到。。jisoojennielisarose
1701246718# #龚俊对狐妖里的肌肉线条很满意龚俊生日直播漏料了！他称自己明年会进电影剧组，目前也在看古装本，民国本，还想接人设爽的本，也有去配音，配音看到了自己非常满意的肌肉镜头，英语还在学。跨年确定了。我滴天俊俊真的好有事业心
1689338480# #奔跑吧我去蔡徐坤被p掉了？？？
1691166283# #韩娱直接官宣恋人日娱直接官宣爱人内娱直接官宣孩子
1694783230# #郭敬明。。。缺大德。。当时跟虞书欣说要把她最漂亮的时候拍下来。。。原来就是这么拍的是吧。。。
1699882388# #吴楚一说再给陈牧驰两天时间我滴妈吴楚一是不是真的生气了他称陈牧驰约他出来见面说会道歉，结果十天过去了也没有出来发声明道歉，还说要纯1哥假装钱是借给cmc的，感觉纯1哥都要哭了，说cmc又骗了他...他称两天内不道歉就发录音。。。
1698718818# #网友发问：张元英的c位是不是刻在骨子里的
1703918406# #评论罗伯特你。。。
1693993620# #张凌赫被网友吐槽撞脸蔡徐坤你觉得像吗
1691220598# #TFBOYS我去三国。。。是三国吧。。。。。曹公，刘备和孙权偷偷联姻了！
1690031510# #魏大勋居然对杨洋说这种话。。。你好星期六你是来看谁的
1695436755# #赵露思外网生图赵露思米兰时装周外网生图抗住镜头了吗
1693988854# #我滴妈粉丝称lisa是不是疯了啊之前为三公子推掉工作不说现在还为这男的当脱衣舞娘真的好娇妻啊。。。之前还说什么妈妈不允许穿比基尼但现在连衣服都不穿了而且还要为一群人表演。。。Lisa更新
1703168418# #我的天刘宇宁在一念关山粉丝群里被骂的不堪入目。。。一念关山
1691909596# #网友称LESSERAFIM演唱会怎么假唱啊？？？慌慌张张拿起话筒的样子真让人心寒！！！
1699074881# #ITZY苏州签售会李彩领用中文说了“尊嘟假嘟”太可爱了哈哈哈哈哈哈哈李彩领申有娜中文battle
1694436738# #李佳琦哭着道歉李佳琦哭完继续带货李佳琦道完歉后直接营业带货美眉们你们被这种精神感动到了吗会下单支持李哥吗
1695108757# #因为今天NCT和ENHYPEN是同一航班，所以西珍妮也在边上拍照，结果HYBE的保安们把西珍妮们也堵住了，有粉丝解释称这不是ENHYPEN是NCT，结果保安却说：谁管你啊NCT也不能拍！
1689061556# #网友称刘宇现在怎么这样了签售会粉丝情绪紧张刘宇却面无表情事不关己高高挂起有知道内情的吗
1688388262# #“肯定很大很长悲伤”
1693360082# #金泰亨近日疑似再发自拍照催婚Jennie因为网友发现他连跟妮官宣恋情时背景的两幅画都不舍得挪个地方完全一模一样。。Jennie大粉透露金泰亨频频发出信号是因为妮那边对订婚的事迟迟不做回应金泰亨怕入赘失败所以才经常使小动作还蛮败好感的金泰亨疑似回应恋情
1700194898# #洪胜汉崔秀彬洪胜汉崔秀彬到底咋了
1692967165# #网友称虞书欣这些衣服都不便宜。。。为什么穿在她身上这么土这么丑啊。。。。。有一种自以为很潮的精致土感。。。。。你觉得是网友严格了吗
1691851394# #“为什么要求演员一定要演技好呢”
1699418123# #王源今日发表三首新歌大家有听吗感受如何。。多云转晴又转阴。我在屋顶等雨也等你。我们都会变成雨降落
1686989054# #杨颖脚指甲网友质疑Angelababy在拍摄大片时不剪脚趾甲觉得有点恶心但也有粉丝解释这只是美甲你怎么看
1701953540# #啊啊啊啊啊啊啊啊啊啊啊我一晚上到底要被杨幂美晕多少次，一个视频比一个视频绝苦涩苦涩苦涩
1699866445# #陈牧驰一句小心点代拍猛男落泪我滴妈陈牧驰一句你们小心点，把山上六十多个代拍猛男差点感动的当场落泪，这是个多温柔的男人啊
1699281531# #《悬溺》
1687051738# #Jennie金泰亨开始新一轮秀恩爱。。粉丝发现金泰亨新的爵士cover名字和jennie。的小号名是对应的法语结构：。LeJazzdeV=TheJazzofV。Lesyeuxdenini=Theeyesofnini。。妮妮的眼睛66的爵士。。甚至连头像都换成了情侣真的好甜啊两个人
1696757154# #丁程鑫参加这就是街舞6路透有被帅到吗
1701570659# #网友偶遇鹿晗来看素颜状态抗住了吗
1701694628# #鹅滴神真在芒果没看错吧？鹅的神隐居然在芒果播出了这是什么样的神仙联动啊话不多说立马下芒果去
1701781629# #成毅话筒没电了的同时哈哈哈哈哈哈哈毅世界的美丽传说
1700618450# #洪胜汉手写道歉信了你会原谅他吗。洪胜汉将无限期中断活动RIIZE删除洪胜汉物料
1702978227# #由肖战主演的《藏海传》将于30号开机周期定为150天你期待了吗藏海传开机
1698908863# #香奈儿深圳秀场王一博陈伟霆同框来看状态
1700917916# #成毅娱乐圈最单纯的男孩！！！
1699631949# #德塔文认证王鹤棣为95扛剧生自带高关注度主演剧集靠自己的苏感路透未播先热播出后时宴又多个热梗出圈不仅吸引路人进场还收获了一批新粉确实挺牛的
1688459634# #宋雨琦队友田小娟恋情曝光被网友拍到和男友甜蜜出行男子看到镜头惊恐万分
1694268096# #华晨宇接受法师称号华晨宇称自己接受了大家叫他法师你怎么看待他这个行为
1698817785# #黄旭熙在香港吃米线被网友贴脸开大网友让他不要对女孩子这么差随后他回了个ok和嘘的手势。。。
1698069167# #王源王俊凯同款红色西装被谁帅到
1702297451# #周海媚工作人员拒绝回应网传消息我去这是在干啥有网友称周海媚去世了随后有媒体求证周海媚方但工作人员拒绝回应网传消息这倒是给个准信啊这算咋回事
