1691821336# #盛总要不身先士卒再生一个吧，我给你个小目标——子女数量赶上产品数量哈哈
1701680783# #基金超话。上周四在给某基金大厂做直播的时候，主持人开篇的台词是“自10月底以来的这波反弹.......”。。轮到我接茬的时候我来了一句“幸亏我们直播的比较早，10月底到现在的反弹好歹还有个不到1%的幅度，要是再晚几天开播，怕是’反弹‘这两个字也要改......二哈二哈二哈”。。刚在Wind
1703241848# #俺今天立个Flag吧，如果明年股票基金还是全年下跌，那我明年年底就给自己执行一个“确定性每年4%的理财计划”。。按照“实际利率”的算法，这个理财计划考虑到PPI的因素，实际利率目前可以达到7%了.........
1693971773# #基金超话。黄金又创新高罗……。。美债利率下行黄金涨，美元相对RMB上行也能涨。。在美债利率高悬看不清啥时候下行，我就在固收➕和黄金里躲一躲
1702907446# #正相反，我就喜欢选年轻的基金经理，年纪大的反而我不喜欢，因为精力和进取心都不行了
1695276192# #基金超话。上周一去华夏基金调研的时候在月坛南街被粉丝当场擒拿，抓拍了一张合照。。回头和粉丝聊了一句——回头把咱们俩的合照通过私信发我哈。。粉丝痛快地回答道：“好的，回头我小红书私信发给你”。。说得我很纳闷，咦，我小红书上竟然有粉丝？。。要知道我小红书上那个号粉丝比我家40粉丝数还少，竟
1691312058# #基金超话。我看今天评论区都有人说基金经理有否在高位被“胁迫”发基金？。。用“胁迫”这俩字有点过了，只能说在原有卖方投顾的基金销售模式下，全行业所有人都知道像现在这种熊市末端周期你无论怎么吆喝都卖不出规模，而全行业上规模最快的时候，永远是“牛市末端”的那几个月，如果那恰巧在那段时
1702377943# #明天晚上连播两场，欢迎听我来唠嗑，唠完嗑我就自行车蹬回去啦
1692586800# #基金超话。和粉丝“做生意”的态度——客官您里面请，来的都是客，我永远笑脸相迎，但我得想办法把你韭菜根儿给刨了。比如卖你一个10万块的《股市必胜战法》课。。和粉丝“交朋友”的态度——XDJM要是咱们价值观三观合，那咱相谈甚欢煮酒论英雄，要是不对路，那咱就您走您的阳关道我走我的独木桥，千
1696762054# #我宣布叛变罗森，改投711阵营了。。吃晚饭还有3块钱优惠券，便宜啊……吃瓜
1695136650# #吴艳妮超话。转：对于女子100米栏选手吴艳妮来说，有多少人喜欢她，就有多少人讨厌她。而我们也观察到一个有趣的情况：讨厌她的人大都来自传统体育社区的男性，而喜欢她的人大都来自新兴社交媒体的女性。而这似乎也是吴艳妮为什么可以在亚运会开始之前，就得到7份知名品牌代言的原因。。。评：其实我
1701758896# #WK。。BPL.......
1701779507# #中诚信国际发布公告，维持中国主权信用等级AA+g，评级展望为稳定。
1699860759# #在我《慢慢变富》组合里就有嘻嘻
1701149394# #骑行超话。12年前买了一辆捷安特城市车上下班。。要求是气温合适且PM2.5不能高于100。。结果一年下来只有20天符合这要求苦涩
1700459768# #基金超话。微盘股指数又一骑绝尘了，不服不行。。短期市场共识在这里，按照股评一贯的套路，话术我已经帮他们想好了——微盘股指数叠创历史新高是典型的“机构抱团坑害散户”……
1696955579# #广州如家1188块。。我错了允悲允悲允悲
1696509714# #基金超话。【感觉基金经理都缺乏职业道德？】。粉丝群粉丝曰：感觉假设经理都缺乏武德，唯一能限制他们有职业道德，应该是李录模型。每年低于6％收益没有任何费用给你，超过这个部分提成20％。不知道这些规则，能否更好的服务客户呢？。。答曰：把“绝对收益”要求和基金经理职业道德挂钩起来是典型的
1694585662# #这是组合管理中的“杠铃型策略”，主动偏股基金大部分是成长，缺价值类资产，所以我用红利类产品去做相关性分散
1693729429# #这就是股评提供的重要情绪价值——你亏钱不是因为你菜，而是“机构抱团坑害散户”二哈二哈二哈
1693119030# #所以需要咱们自己干，自己给自己定节奏，而不是任由那些不把客户利益放在第一位的机构摆布
1698038665# #你以为的自己寻找闪光的你微博vlog大赛理想生活季
1697099375# #刚发现我爸的拼音缩写和某监管领导一模一样..........汗。。所以你们要是用拼音缩写骂监管领导，我第一反应是——你也觉得我爸这么糟糕？哈哈哈哈
1694315894# #666666666
1699337055# #基金超话。看到WX群里有一篇文章叫做《请求XXXX基金找回初心》。。这标题就很扯，无论是基金公司还是其他什么行业的公司，初心就是“股东利益最大化”，这点大学学过《财务管理》这门课的金融科班小伙伴都记得吧？。。所以在资管公司基于“股东利益最大化”前提下，初心就是“做大规模”，从而做大收入
1690780140# #基金超话。在互联网上混得时间越长，我越对“群众的眼睛是雪亮”的这句话存疑。。微博上被抓的那几位，不都是几百万粉丝起步的嘛，难道这几百万粉丝的眼睛是“雪亮”的？。。骗子之所以能持续有市场，是因为他们说的话普通人爱听；骗子是天生的“心理学家”，对于普通人爱听什么，容易掉入哪些陷阱，都
1692841260# #基金超话。最近许多有大类资产配置眼光的小伙伴都在配置美债类的产品，搞得各家基金公司QDII额度紧张。。说到底基金还是“工具型产品”，要不是国内有QDII额度限制，按照现在国内公募基金为了规模这卷法，估计都能把乌克兰股市的行业ETF产品给开发秃了。。别看最近基金发行困难，只要限制取消，有一类
1693803246# #把球队而不是球员当成信仰........
1703588601# #基金超话。绝密内幕消息，下周有基金同业小伙伴要约我吃“牛肉火锅”。。该怎么应对你们懂的，一般人我可不告诉他这种绝密消息........嘻嘻嘻嘻嘻嘻
1695905575# #香港万得通讯社报道，中国恒大9月28日晚间在港交所公告称，接到有关部门通知，公司执行董事及董事会主席许家印因涉嫌违法犯罪，已被依法采取强制措施。公司股份自9月28日上午9时起停止买卖，将继续暂停买卖，直至另行通知。。我觉得恒大足球还是搞得不错的……
1693149098# #基金超话。明天A股的一个悬念是“单日成交是否破万亿”？。。在我来看“破万亿”才是利空，成交越缩量越好。。经历过2008年9月19日行情的老伙计们，应该都明白上边两句话是啥意思..........。。碰到惊天利好，大家都舍不得卖才是好事，反之则说明大家信心还是不足........
1698801275# #你这是真不怕得罪FOF基金经理啊
1698126517# #基金超话。话说这周五晚上8点我去第一财经《公司与行业》转转哈，把8月以来投资的思路和几个关键因素和应对方法讲讲。。像我这种既不预测市场，也不做懂王的风格，几个月去一次足够了。那种每天猜上证指数涨跌，啥都不懂却要对每个行业和个股的基本面以及走势指指点点的事情，交给传统股评老师去干就
1691719920# #基金超话。之前说过《稳中求进》组合近期筹备调仓，但考虑到最近一个月还有大量粉丝买入了该组合，在此情况下即使组合中为了节约大家的手续费配置了C份额，依然会产生一定的手续费用。。所以我们最近采用了一些技术手段帮助跟投粉丝们来节约手续费，目前已设置完成，已经开放正常跟投。。。大家可以从
1690518090# #基金超话带着微博去都市写给夏天。逆向投资，和市场对抗需要哪些条件？
1692109538# #我觉得这个配比有点过于激进了，其实我稳中求进和权益基金组合的配比是1比1左右
1701178912# #骑行超话。公众号写完，骑车回家……
1696343976# #4.75%的美债，美股也扛不住啊偷笑偷笑偷笑
1691678817# #基金超话。中融信托非工作时间网站都打不开了笑cry
1702883741# #基金超话。粉丝问：“对未来一年行情比较乐观，只是不晓得未来弹性好的板块会是哪些，假如是您，行情初期您看好哪些板块或指数呢？”。。答：“还是2021年以来一贯的弱者思维风格，在大多数情况下我并不会主动去做行业风格偏离和暴露。2023年还稍微特殊一点，我在盛总的指导下主动增加了小微盘风格因
1702829202# #基金超话。啊哈，晚上整理股债性价比数据，发现了个很有意思的现象。。经过上周的下跌，沪深300的股息率反而变得更低了..........。。这就是传说中的“越跌越贵”？。。哦也对，12月11日沪深300还变更了一次成分股
1695631776# #200%投进去了至少，目前处于“坐吃山空”状态黑线
1699093987# #基金超话。1999.9美元/盎司。。国际金价本周五的收盘价，真够“天长地久”的……
1700466932# #基金超话。中午见了某家基金公司的权益投资总监，大家一致认为现在最大的风险就是“持续下跌的风险”，除此之外没啥需要担心的。。如果持续下跌，那什么资管、财富管理、基金投顾行业全都玩球，咱们这帮证券基金行业的人也别卷啥规模、排名、KPI了，全都准备下岗去送外卖或者开网约车吧。。从今年网约
