1638690677# #永远不能原谅日本鬼子！
1548519703# #其实想让国人不吃狗肉太容易了嘻嘻把中国境内所有的狗都杀绝了，然后出台条法律：养狗一律判无期徒刑以上！！坏笑保证国人没有狗肉可以吃笑cry笑cry笑cry
1569926951# #吃了花生米的曱甴，应该会挂鼓掌鼓掌鼓掌
1561906616# #港真，做为一个公职人员，我对越秀区检察院的这个做法还是挺欢迎的，因为万一哪天我酒驾醉驾了还能逃过一劫鼓掌但是……但是我更怕的是某个心存侥幸的醉鬼开着车撞到我关心的人摊手所以我还是坚决反对醉驾从宽免刑挖鼻挖鼻
1646519331# #妈蛋，现在不能上传吃鸡视频了？允悲
1647164332# #这头反思怪绝逼是年度反思殖人第一笑cry
1634542211# #所以我一般用无倒刺的鱼钩耶
1670310485# #驻马店卫健委的这篇文章直接反对ZY的第九版和二十条，只能说真牛（SHA）逼！挖鼻
1638026495# #围观
1632111769# #允悲
1568645358# #第一书记我们准备给没有电视机的贫困户发电视机，我们村一共要发六十几台，报名的有一百多户！摊手港真，我一向不喜欢什么都无偿的给贫困户，我宁愿让他们做了一些事情一些工作以后再给他们奖补点物资或者资金。可是现在我觉得党委政府给贫困户的东西越来越多，甚至是求着贫困户要，包括易地搬迁
1639099064# #个人觉得是摆拍，也希望是摆拍摊手
1539598320# #嗯嗯，苹果公司按规定处理没错啊，苹果手机能在两米深水里停留，不过你这小伙子的手机没放在两米深的水里嘛挖鼻除了两米水深外，在其他深度损坏的都不保修嘻嘻看看看看，人家外国人是多么重视契约精神啊！二哈二哈二哈
1630940700# #神车五菱赞
1630338494# #NOFXXKTOSAY二哈
1670083812# #作为一个基层扶贫工作者，我觉得我失职了，这么穷的人都漏过去是我们的不对，我检讨挖鼻
1646518953# #现在的孩子呀摊手
1533733847# #可笑的是一些脑残民国粉还怀念民国，真特么在民国，这帮垃圾不是卖身的就是饿死的挖鼻挖鼻
1639732777# #围观
1646895997# #眼睛贼亮的网友们永远不会放过一个疑点笑cry
1552796216# #降价什么降价，哥也不缺降的那十来八万挖鼻缺的是那一百万笑cry笑cry
1635352974# #人生南北如歧路。。世事悠悠等风絮。。造化小儿无定据。。翻来覆去，倒横直竖，眼见都如许。。伊周功业何须慕。。不学渊明便归去。。坎止流行随所寓。。玉堂金马，竹篱茅舍，总是无心处。
1635550018# #好大的官威挖鼻
1662474088# #阿富汗好像也是免费供暖，要不曱甴阿富汗试试？哈哈
1550832999# #崔脊梁在网上公开了秘密文件，泄密罪是妥妥的，为啥不立案呢？难道真的是刑不上崔脊梁？挖鼻挖鼻挖鼻
1696241717# #返工
1672537773# #只告诉你两个蟹，没告诉你两个蟹有4斤重，只告诉你一条鱼一个螺，没告诉你这条鱼3斤螺也是3斤，至于鲍鱼生蚝两三块钱一个，还不够便宜啊？不打折就污蔑，这就是某些人阴暗的心理鄙视吃不起就别吃，广西不欢迎这样的辣鸡！滚！
1628080571# #友邦惊诧了，事情大条了哦！挖鼻
1657013401# #厉害doge
1668858854# #他们这些猪怎么可能面对真相
1637741254# #全世界的空气中都能检测出能让人窒息而死的二氧化碳，还能检测出能淹死人的一氧化二氢doge
1538649341# #骗人，水那么清，怎么可能是红水河挖鼻
1570288348# #奇了个怪，伊拉克不是有自由和选票了嘛！？竟然还要吃饭？吃惊
1550413549# #轮子“博士”挖鼻挖鼻挖鼻
1554350760# #深圳女孩加入美军，还有大歪介绍其是中国人挖鼻拉🐔吧倒吧，都效忠星条旗了，还真特么好意思！不就是想当第二个吕超然嘛！如果解放军在战场上遇到这女的，你们会不会给她说“不开火，我是中国人”的机会？摊手摊手
1638957357# #感觉图四的肉块跟图二有点相似啊！嘻嘻
1535441896# #原来是个慕洋犬啊，挂一个鄙视
1634310002# #出征星辰大海！！耶耶耶
1570286534# #路上拍的！！赞赞赞
1542555701# #还真会挑时间啊！在狗奴拼命攻击杭州出台宠物狗管理条例的时候搞出这种视频挖鼻小便到底是狗奴呢还是狗奴呢？思考思考思考
1565354065# #干得好！威武
1547904295# #警察同志请记住：你还有妻子儿女父母亲人，遇到拿枪拿刀的请先开枪再问话！！宁愿上审判席也不要盖国旗！！！
1630381434# #弱弱地问一下，作协呢？
1535183095# #上一条又臭又长，其实纽约时报为什么会登她的文章？不是她的文笔，不是她对母亲的感情，而是她对中国的抹黑摊手
1637035910# #人家有同一个老板，就不可能起内讧doge
1662207038# #今天跑了一趟牛头岭看大风车。遇见地主在收门票哈哈
1563937983# #早上来的时候天空阴沉沉的，没想到还是出太阳☀️了泪
1627734527# #又不是第一次不要脸摊手
1650333535# #真为美国人民感到高兴，真心话doge
1698486424# #乌贼鱿鱼同体嘻嘻
1652063253# #用“嗝屁”这个词合适
1649349022# #今年广西三月三连放5天假回顾这五天假期，第一天在高速路口守卡，测体温，检查健康码行程码核酸检测码…第二天继续在另一个高速路口守卡，检查健康码行程码核酸检测码…困第三天好点，休息一上午，下午和球友们去踢了一场球，晚上在大排档讨论战略战术，消耗了数件啤酒和近百串烧烤doge第四天临
1649991959# #心心心
1650853784# #北海是我最喜欢去的地方之一！好几年没去了，怀念ING………心
1628643426# #接种率到位了也不可能跟疫情开始前一样的，涉及到人民的生命安全，这是最重要的因素。而且，为什么我们国家在疫情期间还能保持经济增长？恰恰是因为我们的疫情防控政策制定得好执行得好，明白吗？
1628176524# #广西的骄傲！赞赞赞
1669985937# #可不可以理解为：太阳☀️升起来是因为鸡叫了笑cry
1640572102# #哦豁，图一被夹了，还是有点影响力的嘛！挖鼻
1541577588# #博主这是一心思地争取华表指标嘛偷笑偷笑偷笑
1636200068# #居然忘记了描述满地的无主手机汗
1541494319# #就是他摊手摊手
1637073214# #西方人收买了一些慕洋犬刻意丑化中国女性而已摊手
1567954801# #关心儿童玩具安全是很好的，玩具里有硼元素，是硼砂呢还是其他硼化合物呢？含量是多少呢？这点心惊报没有说，只说了2-5克硼砂会致命摊手就像我们喝的自来水里有氯元素一样，是氯化钠还是氯化钾还是氯化钙呢？挖鼻
1538752100# #掠夺性借贷这么LOW的事情咱大米粒奸早就不做了，现在咱就是不给老子送钱送资源就打你，炸死你家人，炸掉你房子挖鼻挖鼻不信你问问印第安人，他们敢吱声不？挖鼻挖鼻挖鼻
1639703943# #这是碰瓷还是自杀？吃惊
1628001458# #我从未对拼搏过努力过的奥运健儿失望，继续努力，我们支持你！鲜花
1642664369# #右边这样批评二流报纸，小心被人日挂污
1664960665# #想起当年上小学时候，没少爬这座小石山哈哈
1533706271# #弱弱的问一句：僵尸可以拿枪吗？允悲
1649034182# #这人有点东西啊思考
1641011057# #台湾最美的风景是人doge
1565698798# #废青打内地游客怒怒怒
1543655019# #反正有监控，假装驾驶被干扰了撞路边，这家伙没系安全带，肯定死挖鼻挖鼻
1631185469# #在楼顶拍的夕阳，美得让人心碎鲜花
1644224638# #卧槽，没抢到允悲
1668988730# #话筒话筒话筒
1650617051# #援沪慰问品，看看清楚哦汗
1639837686# #精辟嘻嘻goodgoodgood
1646919376# #咦，平时活跃在微博上的女拳好像都瞎了呢？挖鼻
1638878207# #为一己私利害人不浅！
1629110377# #乱世人不如太平犬！真庆幸我们生在中国！
1666224963# #心
1650629431# #南橘北枳摊手
1540218016# #悄悄的进村，打枪的不要嘻嘻嘻嘻嘻嘻天气即天意
1675865515# #我看过了，下载的，看完就删了，真心不好看挖鼻
1542685849# #公知们真是有国际主义精神啊偷笑用自己的身体硬生生吸收福岛核辐射，造福日本淫民二哈他们是脱离了低级趣味的人！他们是纯粹的人！！他们不是一个人！！！哈哈哈哈哈哈
1642773726# #据说滴血认亲比检验DNA要准，说不定家属会认可doge
1636593988# #空中拼刺刀的队伍成长了！心
1638237189# #好像97年前尤根•拜耳就发明了耳机吧二哈
1631272675# #当然是国内的啦！挖鼻
1548240308# #既然公司是这个小伙子的，那去把公司财产转到自己名下或者注销就是嘻嘻嘻嘻
1533694175# #用虚假的信息欺骗他人获取不当利益二哈
1647834057# #西方的厕纸嘻嘻
1668417492# #一看就知道是个招摇撞骗的假和尚挖鼻
1567933749# #这就是黄尸废青们追求的皿煮滋油哈哈哈哈哈哈
1653194985# #宁明花山乘船游花山，山美水美景美人更美！在崇左等你哦！心
1672185965# #烧死异端打脸
1629120865# #doge
1552218208# #图一那里能钓鱼不色
1651067529# #我经常听张教授的演讲，启发颇多good
1647652263# #美国100万人死的冤啊，这么好的药，宁愿出口，也不给他们用泪泪泪
1565002378# #怂个啥啊，继续支持呗摊手黄尸的文盲革命还没流血死人呢，想独立不死个几十万黄尸怎么行挖鼻挖鼻
1628004223# #抱歉，帮不了你们，只能说这不是中国共产党的管辖范围摊手
1672553878# #对着一个犹太人做这个动作到底是致敬还是羞辱啊？！dogedogedoge
1564026314# #好吧，我老家的一条宽带，崇左家里一条宽带，现在到村里长驻了，又拉一条宽带允悲允悲允悲
1654270244# #晚安心语会成真的吗？这是一个问题！
1567350180# #不开空军一号撞断高压线？二哈
1567309275# #废青叫得真好听鼓掌鼓掌鼓掌
1564410224# #嗯嗯，草管人命二哈
1628839194# #傻眼思考思考
1637857071# #还好吧，跑跑步喝点小酒吃吃鸡嘻嘻
1649462592# #连初筛阳性都能光明正大地搭高铁离开魔都，一天八百多例阳性两万例无症状却一个高风险区都没有汗看不懂啊看不懂挖鼻
1647912637# #话筒话筒话筒
1630542119# #等到花儿也谢了NO
1693536930# #试用了一下百度的文心一言，嗯，很理中客挖鼻
1668175601# #说假冒完全是扯淡，明明就是找茬的顶被爆出来以后市场监督管理局乱了阵脚，连应对都不会了，真真是蠢到极点鄙视
1549193474# #翠芬这个年不好过啊笑cry笑cry
1562086214# #我一直认为现在的香港就像痔疮，时不时让人难受一阵，真严重了就动个小手术清掉就行挖鼻挖鼻挖鼻
1561786603# #轻微杀人轻微放火轻微强奸挖鼻挖鼻挖鼻
1691423370# #小时候养过几条小狗，相对于养猫养狗来说，现在我更喜欢养些好看的鱼儿。毕竟，这些鱼儿不用你去陪伴它，也不用你去遛它，不用给它取名字，更不会养久了以后产生感情。不管你是不是每天看着它们，不管你每天给它们喂食，不管你是不是几天就给它们换水，它们都不知道，更不会知道你是它们的主人。它们不
1640329978# #入冬了吗？微笑
1642338463# #古龙说过：“忽然想通了”，这五个字说来简单，要做到可真不容易。无论什么事，你只要能“忽然想通了”，你就不会有烦恼，但达到这地步之前，你一定已不知道有过多少烦恼。
1644226876# #男足一个个头发蹭亮油头粉面的，一脱衣服就是一条白斩鸡，拿什么来堵挖鼻
1630025833# #我就蹭蹭……那热度笑而不语
1640500543# #万一呢鼓掌鼓掌鼓掌
1561025980# #如果安检的警员有问题的话该问责问责，该处分处分，但是这个明猩违法的事该抓就得抓嘛！摊手
1661691152# #第一次听到这种音乐🎶
1690355074# #也算打卡了
1656121669# #记得我第一次在南宁进酒吧喝酒就是在这里了
1608681643# #早上找外套的时候看见这件背心，颇有感触。脱贫攻坚战已经取得决定性胜利，下一步就把工作交给乡村振兴工作队的同志了！加油中国🇨🇳！抱抱抱抱抱抱
1647481500# #掷地有声话筒话筒话筒
1630506266# #话筒话筒话筒
1627917356# #这样的工作态度让我很吃惊哼漏洞太多了
1656848131# #时光如水，洗拂记忆的能力无以伦比。
1631116323# #2021年全市试鸣防空警报时间调整至9月30日918勿忘国耻你这是傻的还是脑残的？运动会能和国耻日相提并论吗？纪念日就是那一天，九月十八日，尼玛调整到30号是尼玛死在那天吗？草拟MB！鄙视
1570063365# #管管你们的法官哈，思想教育都教育到doge身上去了？费解
1645413195# #醉驾入刑那么久了，检察院好歹先起诉吧，至于怎么判是法院的事，你连法院的审判工作都代劳了，是不是有点捞过界呢doge
1628562973# #说得对
1651163279# #一帮强盗小偷的后代挖鼻
1662477359# #给点时间调查吧，老奶奶为什么跪，那些吸烟的兔蛋是谁，最后怎么处理了就行摊手
