1701504511# #初一女孩欲轻生，警察撕心裂肺大吼规劝，听得人想哭…向这位警察致敬赞
1699172992# #“这个医生火了！”手术刚准备开始，主刀医生却突然跑了！放着手术台上的患者不管不顾，让患者家属目瞪口呆！可是几分钟后，主刀医生又匆匆跑了回来，而这背后的原因让人忍不住落泪！。。患者被推进手术室后，患者家属一脸焦急地在手术室外等候。因为许医生说这个手术比较复杂，可能有生命危险……。。
1696994652# #女子遭肇事者抛弃医院，愤怒对护士爆粗口，结果惹来大麻烦…在新加坡对护士爆粗口被调查
1688711047# #完整视频，一名辅警凭借一己之力在对抗拒不接受酒驾测试的两名当事人、自己的上级、还有自己身边的那群同事。要不是因为自己事后被辞退，恐怕这个视频也不会被发出来…
1692661233# #请为这位伟大的科学家停留一秒钟，他一辈子因为工作保密，一生都籍籍无名，只为国家和民族默默付出的科学家！老院士40多年潜心钻研为中国武器装上“火眼金睛”，他就是高伯龙！他是我国激光陀螺仪之父，花了43年时间填补了我国激光领域众多空白。高院士的一生，一直为国家和民族默默贡献，致敬民族脊梁
1688821969# #安徽1岁烫伤男孩辗转多次求医，上完面具，孩子哭到昏厥…
1703555780# #要不是离世前几个小时这么一段视频，可能99%的人都不知情。他的生命还剩10个钟头，昏迷后一睁眼便强烈的要求赶紧把他从ICU里面转出去。戴着氧气面罩，身上插着几十根管子，被搀扶着坐在了电脑前，颤颤巍巍地用手点着鼠标，仿佛耗尽了所有的力气。。。这电脑里藏着关系国家核心利益的技术文件，还有即将答
1698920984# #“两年内被家暴十六次”案件追踪，“有一天袋子破了，衣服上全是粪便”…这平时得多痛啊伤心（转自帮女郎）已知全貌，建议死刑！遭家暴16次女子公开挂粪袋造口画面
1688538016# #北京政法职业学院回应男生被退学现逆天反转情节，仗义阻止霸凌男生递交退学申请书，并配文“江湖路远，各自珍重”，霸凌者毫发无损，见义勇为者被退学，“正义”这个东西怎么说呢…。。站着各位网友的角度来说这个事情，“正义”缺席了。。但是，这个结果站着学校的角度来说是比较“正义”与“公平了。。
1687156805# #黄子佼这是彻底崩溃了，知道自己名誉扫地，打算来个鱼死网破，你们觉得他曝出的消息可靠么？大小S这回是彻底废了吧？黄子佼曝大小S吸毒
1697954055# #路面出现凹陷，车辆险些遭殃，他及时出手了！苏师傅，给你点赞赞
1700493715# #近日，格力电器大佬董明珠回应了与35岁的王自如的绯闻。。。董明珠表示，她已经70岁了，但仍然有人传出这样的八卦，让她感到非常不可思议。她强调，这些传闻都是不实之词，相信她的人自然会相信，而那些制造绯闻的人只是为了博取眼球。。。此外，董明珠还谈到了金星老师在某节目中蹦出一句“口含明珠，进退
1689768882# #男孩初中毕业成绩不好没考上高中，主动跟妈妈要求自己去学修车…网友：他只是做错了题，不是做错了人🙏
1702979972# #看的眼眶发红，一方有难，八方支援。这就是中国速度！甘肃震区目前最缺御寒和女性物资甘肃地震已致126人遇难
1690285246# #女子称自己在某公司试工七天后无工资，经劳动局处理后去要钱，遭到人事辱骂。“你没见过钱啊”…第一次见到欠薪欠的如此不要脸！试用期凭什么不给工资？
1698390650# #7岁的贝贝（化名）春节后随父母从菏泽来济南定居，并转学到济南一所寄宿学校读二年级，贝贝虽说从下面县市转过来，但是，学习成绩和宽广的知识面，让老师和同学刮目相看，也让父母格外欣慰。。。就这样一个品学兼优的孩子却发生了让父母和班主任极度不理解的事情。“一个月前，我和孩子爸爸突然接到班主
1698633425# #孩子开车门撞到外卖小哥，母亲责备外卖小哥，父亲赶忙阻止并这样教育孩子…这种现场教育让孩子记忆深刻，为这位爸爸点赞👍
1697247790# #中以混血女孩妈妈再发声"诺娃出生在以色列而不是北京""她曾服两年兵役现在是大学生""以色列籍你们中国人就不可以帮我吗？原本很同情，听了这个语气、态度…这个女人是不是感觉别人必须帮？以色列籍你找以色列啊！你找中国干嘛？中国没有义务帮你！黎巴嫩以色列临时边界发生交火巴勒斯坦
1699537741# #上海浦东一房产交易中心，孤寡老人欲过户房子给保姆被阻拦，警方调查后确认，此事不涉及诈骗，老人确实自愿将房子转移给保姆。网友：如果我晚年遇到一个尽心尽力侍候我的保姆，我不仅把房子过户给她存款也给她…对此大家怎么看？
1698979040# #你支持取消彩礼吗？思考当婚姻被彩礼变成一场交易
1699070020# #媒体评哄抢药材：法不责众不是借口…盘点河南多地哄抢事件通报
1699159164# #这么漂亮的石板路，就这么被拆掉了，石板价格很贵，太浪费了。拆了建，建了拆，对沿街店铺的生意影响非常大。。。一条路污水修路、天然气修路、三网合一修路、白改黑修路、一年到头走不了几次、都是在修路度过……
1698746574# #是什么毁掉了年轻人的脊梁骨？只会站着挨打？
1699096546# #看到巴以冲突的惨景，才真正明白先烈们说的那句话：“我们这辈把仗打完了，后辈就不用再打了！”谢谢所有的先辈先烈，勿忘国耻，爱我中华心加沙一母亲失去孩子不愿洗其血迹巴以冲突
1692237789# #想钱想疯了？河北涿州，外地司机拉着一车木材路过灾区，被一女子拦下！女子说司机把她的路给压坏了，要求司机赔偿一万！司机懵了，这大水退去地上都是泥巴，路也看不清楚，凭什么说是他的车压坏的？。。原来，灾区的水退了以后，当地的人需要重新加固修整房子！而这司机运着一车木头来送货，结果因为地上
1697591121# #巴以战争下的孩子们…167名儿童仍被困在加沙废墟中以色列驻英大使宣称加沙不存在人道主义危机
1700662761# #前一秒还面带微笑，后一秒瞬间破防！父亲喂即将出嫁的女儿吃饺子，场面让人泪目泪
1692579465# #打着修缮旗号，花了近9亿，古城“修”出个面目全非，搞坏了古建筑…直戳古建专家的心窝！。。改的更加商业化倒是能理解，你为了赚钱！但是在中国传统古城加入日式风格建筑，这是安的哪门子心？怒央视调查甘肃天水古城
1689404605# #小哥自述跑外卖一个月的真实收入，成年人的世界里没有容易二字可怜
1698483008# #细心的网友注意到了总理的皮带，这条皮带至少系好多年了，泪目！更有网友注意到他黑眼圈严重，应该是累了……勤俭节约，一心为民。一路走好！永远怀念！🙏
1697768002# #盘点抓狗大队捕狗瞬间，只要是公共区域就要牵绳！大家怎么看？小狗不觉得自己是在流浪
1703847629# #街头一角卖白菜的爷爷…为了这两块钱，寒风里这样熬着，我开始以为是25元，结果是两块五可怜
1698820394# #顶级黑色幽默了，振兴东北会议在海口举办并不简单
1687937429# #女子在足球场玩飞盘被足球砸中，愤怒找男子理论，男子：不是我们踢的，女子：我是网红，凭什么让你们拍视频啊？
1701652487# #王志文有一句台词:“老鼠偷了人类的大米，人们说它狡猾；人类偷了蜜蜂的蜂蜜，却说它很勤劳；蛇不知道自己有毒，人不知道自己有错；对我们有利的，那都叫好，对我们无益的，都称为坏。”。。俗话说，婆说婆有理，公说公有理，对牛弹琴，不是牛笨，而是人蠢。世间很多事情，都是站在各自的立场，看待问题
1700109720# #看看清华大学的食堂，你就知道为啥要上好大学了。
1687086944# #爸爸带女儿来看望已过世的妈妈，孩子在坟前跳舞祝妈妈生日快乐，看到最后忍不住落泪了可怜
1695906298# #靴子落地了！许家印正式被抓！。这个中秋无法团圆了……。。曾经有多风光，如今却有多落魄！。欠下天文数字的债务，。他却只想着如何保全自己的利益和家产……。。人在做，天在看！。许家印是咎由自取……。该吐的都要吐出来！。。还有那些高管，拿那么多所谓的工资，。真的心安吗？都统统吐出来吧！
1700915564# #11月18日，山东邹平，男童发烧从电动车摔下后昏迷，孩子家长情急之下拦警车求助，特巡警火速开道送医，3分钟送达医院，抱着孩子一路狂奔到急诊室！为你点赞赞
1687822771# #如何评价张雪峰及他所讲的内容？网友：张雪峰打破了高考的信息差…张雪峰建议报考有壁垒的专业
1693984676# #危险的高速六公里，小货车顶停百吨大货车…。后面是重车，一旦车祸，不敢设想，前车师傅不仅救了后车师傅，还救了路上的过往车辆赞师傅以后肯定万事顺遂🙏
1688889767# #江苏一女孩中考742分却报考了师范专科，引发了热议。女孩母亲解释称，报考的虽然是专科，但是毕业后出来有编制，能直接当小学老师。不过网友觉得女孩成绩这么好，完全可以选择更好的未来。说实话，这位母亲考虑的是有道理的，现在要考一个编制实在太难了，名校毕业也不一定能入编，与其让她将来和人争
1694831251# #色胆包天！男子在列车上猥亵邻座姑娘3次，被同行妻子狂扇！男子：“看她年轻漂亮，冲动了！后来越摸越上头，控制不了自己！”老婆：“你要脸吗，我打死你！”网友：这种男人最恶心了，在老婆孩子面前都管不住自己，平时可想而知了！。。原来，男子杨某跟妻子和儿子一起出行，但他买的票没有跟妻子坐在
1698712841# #经典老人言，都是大智慧。。1、妻比夫强，好景不长。。。2、房事不外露，家丑不外扬。。。3、人穷不娶美娇娘，不信你问武大郎icon。。。4、宁娶从良女，不娶过墙妻。。。5、头无油，脚无汗icon，到老也是穷光蛋。。。6、半路夫妻不如狗，困难一来拔腿走。。。7、男人嘴大吃四方，女人嘴大吃家当。。。8、穷人常洗澡，富
1696059069# #消防员火场中推开战友自己却被砸牺牲消防员火场中推开战友，自己却被砸牺牲，被批准为烈士。请记住他的名字：梁殊铜…致敬，送别！蜡烛🙏
