1697470459# #林耘丨特别提醒：这三个因素对A股现状影响比较大
1701311816# #林耘丨美国评级机构穆迪调降万科信用评级有没有挟杂私货？合不合理？
1697422631# #消费股炒崩盘了，肉眼可见。现在机构抱团追捧的汽车零部件上市公司，必定也是要崩盘的，可能更脆弱，不信走着瞧。
1699269348# #办法实在，行动快！深圳地铁：将承接万科在深圳项目，交易金额超百亿。
1700452240# #A＋H的溢价，远远高于港股与美股的同股价差，可见A股有多么奇葩？一方面鬼哭狼嚎A股资金不足，另一方面装神弄鬼言之凿凿A股必须有流动性溢价，蛇精病哈哈
1702435268# #老窖找老罗带货，某款产品打到2.1折，被怀疑是假货。问题是，是真货才麻烦！白酒股金身不破，靠的是提价做业绩，藏酒做销量。老窖x老罗这么一搞，小作文还怎么写下去？。。今天早盘，老窖领跌白酒股创年内新低，白酒指数危在旦夕，贵州茅台、五粮液都不得不跟跌。。。白酒肯定不行了，黄梁一梦，一个个泡
1698074874# #林耘丨科创50北证50双双创下历史新低。可以抄疷了吗？
1702604110# #必须承认，犀利哥出手，时机拿捏得准准的，要风得风，要雨来雨。
1701047633# #上汽广汽都在反向向国际品牌输出技术，如大众、奥迪、丰田，小鹏、零跑也是。上汽在欧洲市场已经遥遥领先于比亚迪。
1701485894# #拼多多市值完成对阿里巴巴的“超车”，本周收盘拼多多市值1930亿美元，阿里巴巴市值1882亿美元。京东市值427.5亿元，不足拼多多的四分之一，彻底沦为电商“阿三”。。。领先者切忌大意，后来者并非没有机会，不管在哪个行业哪个领域，大致如此。。。阿里巴巴曾经遥遥领先，遥遥领先，遥遥领先，还是被超车
1698030469# #青岛啤酒，低开高走，现时跌幅不到2%了。
1700392724# #5、7、9，基本各大厂子都把这3个坑占上了，全面开战不可避免。乘联会吹风中国汽车市场年销量将大幅增长到4000万辆。真需要这么多汽车么？单、双号限行么？
1699280755# #万科发公告了！第一大股东深圳地铁出手相帮，注入流动性，预计交易金额超过100亿元人民币。。。一气呵成，迎头痛击。
1701308315# #a股大视野林耘的投资日记集合竞价：涨跌互现，个股涨跌比约2：3，北交所今天挂牌新股N机科高开212.5%。
1701835760# #社保基金正在走程序，要“跑步”进场了！财政部：社保基金会开展直接股权投资要坚持安全至上、优中选优原则。。。问题是，以过去三年A股市场表现论，没看出有机构投资者能在二级市场上挣到钱，无论是公募基金、私募基金、保险机构，还是外资养老金、外资理财机构，都不能。。。把场子打扫一下，把规矩好好
1698042256# #加速下行！9月份的时候说了，10月中旬之后，救市效应可能失效，还真是如此。
1697589983# #“两融”继续加杠杆，但昨天沪深两市合计成交7353亿元，萎缩了约10%，说明躺平的多得多。融资融券：截至10月16日，上交所融资余额报8086.51亿元，较前一交易日增加20.59亿元；深交所融资余额报7310.8亿元，较前一交易日增加22.24亿元；两市合计15397.31亿元，较前一交易日增加42.83亿元。
1699421609# #沪综指M20线在3027点一带，相当于与3000点关口构成一个防守区域，初级强支撑位。
1699510193# #做空者的策略是各个击破，中国平安被瞄上了。造谣生事很容易，辟谣修复“原样”难上难。
1698212783# #a股大视野科创板一度位列“仙班”的华熙生物，从历史高点下来，腰斩2次，逼近历史最低了。。。真是沧海桑田啊！前段时间华熙生物董事长赵燕向山东大学捐赠481.68万股公司股份，当时价值4亿元就预感到还要跌一跌。
1697084439# #林耘的投资日记早盘的主要交易数据，都在附图里了，能依此画出市场轮廊么？
1697867696# #湖北！查人的被查，还是偏高端的。
1697856112# #白酒的逻辑很清晰：1、后继乏人，年轻人不爱喝白酒和趋势性低生育率；2、喝酒主力群体60后进入退休高潮期，身体不堪重负且离开权力场想喝也未必有人买单；3、70后跟进、情况类似，深度化；4、经济进入大周期调整，喝酒场景少了许多，加之反腐咯有影响；5、家庭消费奢靡浮夸之风难以持续；6、天量民间藏
1700874045# #所以买电车送冰箱送大床啊泪
1698459609# #这位就是宋健同学，同班同学中年龄最小。
1700534552# #科技、演艺发达，通常民众收入水平倾向于差距拉大。比如曾经的亚洲“四小龙”之咱家湾湾，人均收入4万美元，但城市面貌、基础设施，收入中位数都不怎么样。。。高大上的直播带货也是，头部主播和产业链相关人员，收入差距何其大。
1700190889# #保障房与商品房实行双轻制之后，包括北京在内限购有条件松绑是必定的，可将其视为“三稳”政策的辅助性措施。。。内城除外，南4环外北西东5环外是可以松绑的。
1696911809# #微博电台计划
1698283395# #“人有多大胆，地有多高产”己经是被历史证明行不通的，任性顶风作案，结局必定是摔大跟头代价惨重。
1698199099# #其实，1万亿元，现在干不了多少事情，买不到半个贵州茅台。所以啊，还得靠自身能打铁，特别国债起个药引子的作用，大家齐心协力好好干。。。按当下A股这副怂样，今年社保基金没少赔，公墓发的2年期产品0.6X、3年期产品0.5X的一大堆，老百姓不管直接间接进入A股都赔惨了，怎么办？。。老林以为，最怕胡来，
1698802419# #a股大视野林耘的投资日记20231101，星期三，新征程，平凡是真。
1701912214# #隔夜，美油跌破70美元／桶关口了。
1702432358# #富时A50又来带节奏，准时。
1701245326# #芒格去世，这是他生前最后一次万字访谈
1699629363# #习近平将赴美国举行中美元首会晤，同时出席亚太经合组织第三十次领导人非正式会议。
1700533961# #买房，首付和月供，考验一个人的品性、毅力和决心，很多人不及格，被淘汰，正常。。。网上当BBKING，何其爽？。。等着天上掉馅饼，想想无妨。
1700444491# #券商虽多，没看到一家特立独行、一革“渣男”形象有善意改变时局的。。。A股种种乱象，难辞其咎。
1699232058# #咱家有条件做空的都是有头有脸说一套做一套的。
1700027088# #答粉丝问：煤炭股旱涝保收吗？
1696990558# #奔驰Ⅹ华为鸿蒙车机？乌龙了！估计炒股小作文搞的事情。
1699579962# #a股大视野低开调整，tmt方向明显退潮了。
1699324984# #这次政策救市比以往任何一次救市都难。。。我经历的第一次政策救市发生在1994年8月，“三不”政策出台后的首个交易日，沪市综合指数当天翻倍，印象深刻。真就是敲敲黑板，不用扬鞭自奋蹄。。。当时市场规模小，国家股、法人股不能自由流通，股民都是吃螃蟹的勇敢者，股市渗透率低，场外待引导入市的投资者
1697524150# #中国象棋特级大师柳大华手举身份证举报……隔着屏幕都感觉到心痛——腐败无处不在。。。大棋士，混到如此，真是无语了。
1698978598# #VPlus会员我是为你准备了一张V+限时优惠券～快来领取！加入我的V+，和我一起愉快互动吧&gt;&gt;
1699492191# #央行行长潘功胜：坚决防范汇率超调风险，必要时，央行还将对债务负担相对较重地区提供应急流动性支持。。。1、潘讲话的汇率背景是人民币汇7.28上下；2、央行表态入场化债了。
1700397409# #自己动手，丰衣足食。今天在超市里看了一眼，大白菜一斤0.29元，二锅头100ml的“小二”特价1块钱一瓶，海天蚝油半价促销，挺好，省着花。
1701004005# #最近ipo确实太少了，目测遭遇了多年以来最严重“干旱”。
1697175098# #尽管有中秋国庆“双节”加持，但9月份消费太弱了！中国9月CPI零增长，PPI同比跌幅收窄至-2.5%。
1698138109# #3000点都站不稳强烈要求不惜代价拉到4000点。然后呢？能站稳不？即使站稳了上不去也整体没有回报！砸锅卖铁集资再拉到5000点么？／/笑cry学生功课没做好可爱
1699060229# #搭施不是对症下药解决肉眼可见的问题，而是在错误方向上继续高投入加足马力狂奔，好得了吗？
1701050157# #赛力斯，撞墙；比亚迪，赶底。。。炒股说起来都是泪。
1701475384# #财经宠粉季【签到领红包】惊喜回归✌🏻每日完成签到即可领取现金红包。此外还为家人们争取了专属福利！通过我的专属链接完成签到，不仅红包金额更大，还可额外获得一次转盘抽奖机会，最高可得88元现金红包！点击下方链接领取红包👇🏻👇🏻👇🏻
1701340504# #2023年1-11月中国房地产企业销售业绩排行榜。。。2023年1-11月，TOP100房企销售总额为57379.0亿元，同比下降14.7%，降幅相比上月扩大1.6个百分点。其中TOP100房企11月单月销售额同比下降29.2%，环比下降0.6%。销售额超千亿房企16家，较去年同期减少3家，百亿房企108家，较去年同期减少10家。TOP100房企权
1700794862# #封神的大牌基金经理，历史战绩累计合计，没有一个是正收益的。私募公募化以后，也是。
1697358073# #中国中免董事长李刚因病在深圳去逝，56岁，今年2月份才上任的。
1697642102# #A股总融资额与A股总市值基本相当，真没想到！意思就是ipo上来的“大小非”约等于历年现金分红累计，以及退市股票“消失”的市值？
