1697626676# #老外眼中“神奇的东方树叶”以茶之名重走丝路一带一路的100个故事
1699105789# #🚨真主党在这场战争中首次使用大型火箭弹。。下面的爆炸疑似来自真主党的“布尔坎”火箭弹。。这将是真主党首次在这场战争中使用这种武器，由于其有效载荷的增加，标志着升级的一步。。。下面的视频显示了在不同冲突中使用的火箭。。。这是对以色列的警告，还是暗示事态升级的意图？。。资料来源：新消息报
1700252705# #A10舔地狂魔
1698621800# #日军细菌战致同胞腐脚生蛆，王选为受害者状告日本25年，勿忘国耻
1689143725# #看此宣传片，不错啊，去一次电影院？。《长安三万里》居然以高适的视角来看众多唐代诗人，李白的不羁、杜甫的直爽、王维的清冷，与男主高适的认真、内敛形成了鲜明的对比。不管历史真相如何，李白和高适的相知相惜之情让人动容，鲜活的诗词大家让激动，更别提那一首首脍炙人口的唐诗生动地出现在电影剧
1701039922# #俄罗斯新一批BTR-82A已经抵达特别军事行动区
1689584424# #🇷🇺🇺🇦奥里希夫区。截至2023年7月17日11点的情况。。🔻AFU正在加强他们在奥里希夫地区的前线。AFU第47机械化旅的增援部队抵达拉博蒂诺北部和东北部的据点。。。❗️前线缺乏重大成果，在某些情况下甚至AFU撤退，迫使乌克兰当局做出反应。现在，新阶段进攻的准备工作仍在继续。而对克里米亚
1701655506# #朋友们，周一福利日我来给大家送福利了！今天订阅我的年费Vplus，除专享高价值付费内容和专属权益外，还能参与抽奖，100%中现金！最高6666元！今日100元大额红包概率翻倍，福利仅1天！快来拼手速吧！
1700970537# #王博群与夫人保志宁
1701118072# #小狗在进屋之前会擦干自己的湿爪子！真是一只讲究的小可爱！赞心
1690038559# #逆行还找人家理论！还甭管你是不是逆行！污污"你先甭管我是不是逆行，你不能怼着我车头开"。世界上真有此等厚颜无耻之人！吐吐
1690876406# #《毛主席夸咱能文能武》（徐兆前邵增虎70年代）——大海航行靠舵手🇨🇳
1700780412# #看看华夏霸气十足的外交管天团，妥妥的霸气与帅气并存。
1697807090# #有人知道这个小女孩是谁吗？。照片拍摄于1987年，她当时六岁。
1690129896# #🚨卢卡申科告诉普京，瓦格纳部队已经开始“打扰”他，原因是他们想向华沙挺进。。“我告诉你，为什么要向西走？好吧，去华沙、热舒夫旅游吧，”卢卡申科在与普京会面时分享道。。据他说，PMC“瓦格纳”的情绪“不好”，这就是为什么他不想将他们从白俄罗斯中部重新部署。卢卡申科转述给普京道，后者微
1694654037# #录音曝光！美国警方竟如此麻木不仁！美国警察撞死路人笑称死者价值有限。。美苟们过来洗洗吧，洗衣粉已经备好，再不来洗，我就气抖冷喽！
1701249023# #来看看胖妞运-20是怎么关门的嘻嘻
1700108154# #华夏龙咛歼20
1701263324# #贺子珍
1703953362# #第7007营的以色列士兵在烧毁房屋后做出了不恰当的手势，表明他们有信心在欧盟和美国的保护下逃脱未来的起诉。所以？只能在战场上彻底消灭他们！！
1689335525# #🇺🇦⚔️🇷🇺敌人正在猛攻乌罗扎伊诺耶，试图突破扎波罗热和DPR共和国交界处的前线。DPR国民警卫队副队长A.霍达科夫斯基就前线南顿涅茨克地区弗列梅夫斯基台地的局势表示：。➨“经过大规模的炮火准备后，敌人向大诺沃肖洛夫卡右侧的乌罗扎伊诺耶定居点方向突破。。➨目前，敌人遭受了重大损失，
1703546915# #“有的人死了，他还活着！”韦思浩老先生正如诗词般，他的精神永远地活在我们的心中！
1697392636# #抗战时期八路军精锐手枪队
1699631573# #当泼漆变成杰作时。。。保罗·肯顿(PaulKenton)是一位当代艺术家，因其捕捉世界各地城市独特能量的画作而广受赞誉。。。这是威尼斯。
1696756535# #哈马斯发言人加齐·哈马德告诉英国广播公司，哈马斯得到伊朗的支持，对以色列发动突然袭击，“这是一种自豪”。。。哈马德还表示，哈马斯得到了其他国家的支持，但不愿透露细节。
1701108484# #1964年10月16日，中国第一颗爆炸成功！“东方巨响”震惊了世界！
1699969076# #两名正在玩摩托车的巴勒斯坦孩子在约旦河西岸被以色列军队射杀。。他们很快就把巴勒斯坦人的任何抵抗都称为恐怖主义，但不敢谴责以色列和国际组织75年来所犯下的恐怖主义行为。
1697297847# #大战前夜，胡琏将军给妻子写的一封信，信的内容感人肺腑
1688537541# #持续关注！
1692065174# #《竹海无边》（黄纯尧）——锦绣江山美如画🇨🇳
1696915115# #卧槽！
1702283852# #金门海滩的防御桩，。对面是厦门。。这很难破除的样子，。铁老大们有什么办法？。你们说了算。
1695561061# #加拿大民众显然不喜欢泽连斯基
1694068949# #我第一次知道~污
1699447075# #【中国政府援助尼泊尔地震救灾紧急人道主义物资发运】。。11月8日早上8时，中国政府援助尼泊尔的600顶棉帐篷、4600条毛毯等紧急人道主义抗震救灾物资，从四川成都双流机场啟运并将於当日运抵。中方高度重视尼灾情，应尼政府请求，国家国际发展合作署第一时间向尼提供紧急人道主义援助。
1698510311# #百岁抗美援朝老兵精神矍铄！让人敬佩！铭记历史！致敬英雄！
1690785087# #墨西哥距离天堂只有一步之遥~
1702783503# #在以色列国防军派出推土机并实施种族灭绝之后，以色列占屋者公司实际上在为加沙房屋做广告。。。有趣的是，他们认为在此之后犹太复国主义将被允许存在。
1694359605# #刚刚在头条看到这张照片。右是张爱萍上将，左边这位将军脸很熟，但记不起具体名字了……有哪位朋友知道的？谢了作揖作揖
1701331033# #🌐地点：阿夫迪伊夫卡。🕰日期：-23年11月29日。📌坐标：48.1127144、37.7848769。📝描述：一架俄罗斯无人机“解密”了乌克兰武装部队在阿夫迪伊夫卡郊区的阵地。。乌克兰前线实时画面俄乌局势新进展
1697437065# #乌克兰消息人士称，大多数西方记者离开乌克兰前往以色列。我认为这是一个坏信号，因为乌克兰战争正在逐渐淡出人们的视线。
1702589537# #【贺雪琴：贝特瑞创新赢得技术和市场】。。20多年在深圳扎根，在深圳成长，贝特瑞在负极材料领域已连续十年全球第一。贺雪琴认为，贝特瑞的发展首先最重要的是受益政策的推动，同时还得益于深圳非常优质的营商环境，在这里，企业遇到问题，政府会马上跟上协助企业解决，帮助企业实现高质量发展。
1688772843# #「早报」早上好！2023年7月8日&nbsp;&nbsp;星期六&nbsp;农历五月廿一。。1、教育部：校外培训机构不得聘用有性侵记录人员；。。2、国家网信办：公开征求治理网络暴力意见；。。3、住建部：城市更新以保留利用提升为主，防止大拆大建；。。4、长沙发现3例猴痘病例，均为男性；。。5、郑州“花34亿给河道贴瓷砖”？回应：已关注到
1694711564# #希望你一切好起来，我的好朋友耶握手握手
1691637229# #殖人反贼呆鮭民逗的脑仁确实是很奇葩，其实也不奇怪。。14亿人，多多少少会有一些智障的歪瓜裂枣，正常。
1694497260# #一名男子搬运夜壶。庞贝城米南德宫的高温室入口处的马赛克图画。约公元前500年。。。图片来源：Alamy。
1703694107# #🇵🇸🇮🇱🚨‼️以色列定居者冲进耶路撒冷的Babal-Rahma公墓，把“驴头”挂在坟墓🪦护栏上怒。来源--圣城新闻
1698803550# #埃及陆军已开始在埃及西奈半岛和加沙地带之间的拉法边境口岸附近部署一些M60A3“巴顿”主战坦克和YPR-765步兵战车，因为人们越来越担心巴勒斯坦难民可能很快就会淹没该地区。
1698823030# #靶场射击
1689775475# #俄罗斯迫击炮可能是战争中最厉害的武器。。乌克兰前线实时画面俄乌局势新进展
1695992866# #伊朗海军计划在南极洲升起国旗。。我们未来的计划是在南极自豪地升起伊朗国旗，并在该地区开展军事和科学合作——伊朗少将
1692155466# #🇷🇺🇺🇦乌克兰媒体发布了一张英国挑战者2的照片，其中安装了针对神风特攻队无人机的“笼子”。这是这些车辆出现在前线的第一个真实证据：以前它们只在训练场被发现。。挑战者号隶属于AFU第82空中突击旅，隶属栗色战术大队。这张照片以及被摧毁的史赛克照片表明，乌克兰指挥官正在调动早
1697758141# #10月20日，星期五简报+早安日签，每天60秒读懂世界
1701608950# #经典美国笑话:。。“杀死那些越共。”。“怎么分辨谁是越共？”。“谁企图逃跑谁就是越共。”。“那站着不动的怎么办？”。“那是训练有素的越共！”
1697581072# #像不像某个人的发型
1699276675# #以色列国防军的航拍画面显示，巴勒斯坦人正从加沙北部撤离到南部，军方在萨拉丁公路上开辟了一条人道主义走廊长达数小时。
1701654696# #🇷🇺🛳‼️今天俄罗斯庆祝核破冰船队日‼️。。1959年12月，世界第一艘核动力破冰船“列宁”号服役。。。由此开始了俄罗斯核动力破冰船队的历史，这是同类中最强大的👇俄罗斯拥有11艘核动力破冰船，其中7艘已投入使用。
1692754223# #在扎波罗热前线（奥里奇夫/拉博蒂诺），🇺🇦陆军最近通过部署其最强大的剩余部队第82空突旅取得了成功。今天🇷🇺军队反击，夺回了之前失去的阵地：。。乌克兰前线实时画面俄乌局势新进展
1698831473# #巴以冲突，不对称的战争，惨无人道的屠杀！
1701681449# #开国中将陶勇：原海军副司令员，中国人民志愿军第9兵团副司令员。
1703561591# #铭记历史勿忘国耻
1690380441# #请别吝啬你们手中的赞，她才是我们应该追的星！。李贤玉，专业技术少将、中国剑网之母、中国工程院院士。。她研究的导弹系统弹无虚发，一人能顶7个旅，她帮助我国火箭军部队组建了强悍的剑网，使得导弹系统开了天眼，可以发射致命袭击将敌人阻隔于千里之外！正所谓：昔有钱学森，今有李贤玉。
1691138389# #🇷🇺巴赫穆特方向的俄罗斯空降兵日庆祝活动。
1700236537# #神明不会救你，但党和人民子弟兵会！
1689153048# #格鲁吉亚🇬🇪数万民众抗议西方资助的【LGBT骄傲节】，警察将LGBT组织者和人员驱散。
1695012968# #经典长片：难得一见，战场残酷画面。。🇷🇺💪第37旅战士们面对敌人人数优势的英勇防守。。。两名俄罗斯战士正在与十几名乌克兰人形成战壕对战。。。最终，乌克兰人逃跑了，俄罗斯增援部队赶到了。。。俄乌局势新进展乌克兰前线实时画面
1699282973# #《你听过这题吗——美国那么不好，为什么全世界都往美国移民，却不见美国人往别国移民呢》。。那咱们就听听，放弃美国国籍，需要付出的代价是什么？。这不是官方答案啊，谁认真谁潮种。。但由此可见，美国人要么是走不了，要么是走不起。。。别杠，你全对，你们美国人不用移民。（美国人民人均存款多少来着？）
1701575664# #在风雪中等待妈妈归来的野外熊猫宝宝，左顾右盼终于等到了妈妈温暖的怀抱！
