1697334300# #气温开始持续偏高，最高气温每天接近26度
1694080790# #现在高位接盘贷款三十年买上海五百万到两千万房子的韭菜，应该充分考虑下自己是否三十年内有没有失业可能，失业后是否可以很快找到工作且工资不影响还款的比者认为除了技术大牛级别人物，还有体制内公务员，国企核心级员工，有编制的人群可以稳定还款三十年外，其他芸芸众生还是不要贷款几百万为好，
1688916388# #7月11日上海出梅，先迎接六天高温.....最高气温35到36.5度之间.....数值显示7.17日开始气温开始不热了
1696663563# #今天下雨的地方下午气温偏低得厉害，然而两三天后还是夏天气温，下周一二三连续三天日最高气温25度以上
1690602770# #上海中东部地区较强雨带会下一个下午的雨水...
1700746480# #动态还行，迪丽热巴，古力扎娜都是都快是32岁的人了....新疆人的五官是可以的，身材也很不错，就是看多了也就那样
1701648912# #不懂就问，为什么80年代没怎么读过书的普通工人都知道遇到停车线要停车等待，但是最近十来年的电瓶车，不仅仅是外卖快递，也包括几乎大部分电瓶车通勤的，遇到停车线都不会好好停车了。难道人均学历提升对于素质而言没有一丝一毫作用吗。
1687771481# #8090后小孩成家后几乎没有人缺房子，除非脑子抽住了一定要来北京上海买房...那也就是卖掉老家几套房然后用公积金贷款也是轻松买下....房子在十年后直接崩盘
1698681470# #山东济南疯狂的暖秋，十月底深夜23点，气温21.2度........比大热岛徐家汇都高1.4度
1692250916# #中心城区一波暴雨后，普陀区长风公园气温暴降十度，目前21.6度，录得今年八月份市区最低气温。但是这21.6度在西欧也属于比较热的气温了.....羡慕爱尔兰，苏格兰的七八月天气。
1698823239# #地球在暖下去，上海百年后就要被淹没了....具体几百年就不清楚了，南北极冰川很脆弱的....我们这代人会经历没有冬天的上海的，整个冬季没有持续冷的阶段....
1701825653# #为什么不可以给穷人发钱啊，m2那么多钱把房价从1500一平炒到15w一平就真的好吗.....
1702002994# #35岁以下女性难就业人群看过来.....12月11号统一面试➕光大银行文员➕周末双休。。静安区➕浦东新区（明天面试）。黄浦暂定报名。。岗位要求：。1.男女不限，户籍不限，征信良好，无犯罪记录。2.35岁周岁（含）以下，大专及以上学历，条件好可以放宽年龄3岁，专业不限，有相关从业经验者优先；&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;。3.能
1688632439# #今天北京最高41度，差不多也结束了今年夏季热浪了，下周开始北京告别高温了，35度都不会有了。
1702302095# #谭咏麟翻唱的，酒红色的心，填词很差....日本原唱被糟蹋得最厉害的一首歌曲.....填歌词水平高的可以试试看自己填自己唱，抖音可以火一把哦
1691032961# #上海市区已经连续18天没有高温天气了....希望可以持续到月底哦
1703118884# #这天气还开电瓶车出去的属于真正吃得起苦的人，可惜在这里能吃苦赚不到钱，否则也不会开电瓶车那么冷的天气受罪了
1702867818# #上海和南京差距太大了，南京低温大雪了
1698718081# #如果中国人口还是唐朝时期的三千万人口，中国发展几千年后应该过得比加拿大舒服，人人住超级大别墅
1702518450# #昨天居然梦到了拿到一家软件公司测试主管的offer，月薪25k....然后去单位报道前路上还点了一杯星巴克喝...当时还想着总算不用做事只要派任务给手下就行了允悲
1698884630# #安吉拉北鼻全网被禁言，张嘉倪刚刚火了就也踩坑被禁言....她们两个人就因为去欧洲某国看了一场少儿不宜的演出就被软封杀了吗
1702253425# #今天下午一点前后一股冷空气影响本市....晚上气温刚刚跌破10度...明天的日平均气温依然偏高1.5度....
1688618332# #社会上如果有一百万多个这种铁头，那么就不会有那么多骗局了....上次我在逛街路上居然一群不三不四的人搬了几把🪑在马路上假装好心帮路过的老年人按摩肩膀实际上就是推销三无保健产品...因为没有实施诈骗的过程，仅仅是按摩阶段，也无法报警啊，一个个🐭头🐶脸模样，一看就不是好人....
1703690592# #今天深夜市区气温5到9度，徐家汇23点8.4度....郊区最冷的石湖荡也没有破零度了，目前0.9度....上海金山从20号开始一直到27日连续8天最低气温低于零度，其中五天最低气温低于零下6度.....以金山站12月21到12月26日的平均最低气温横向对比的话，不管是最低，平均还是最高气温，属于上海1960年以来12月下
1701140494# #昨天提到特变起飞，直接就开涨
1693485371# #小时候买不起的中国地图集，在二手旧书网上超级低价买到了，从小喜欢看地形图....有时间自驾去游山玩水去.....1994年150元一本的地图集，二手只要一包玉溪的钱.....大部分人直接扔掉也不会看的地图集，我确如获至宝......地形这东西除了沿海地区填海面基会变大一些，其他内陆地区两千年都不会出现什么
1689722585# #如果我国人口只有三千万，那么人均收入是不是百分之一百远超加拿大呢......
1703988796# #太无语了这空气.....有钱人家里清风系统开起来或者已经在外国旅游，海南岛旅游了，没钱的雾霾吸一吸，什么世道
1702652007# #上海市区非热岛代表站，上海动物园站点...今天24小时降温幅度从昨天深夜23点开始降温的...截止今天23点，预计累计降温12.8左右.....24小时降温幅度没有超过13度....
1691109557# #曾经中国东北地区的出海口，海参崴，这个地名我估计百分之95以上人都不知道怎么读...
1687413996# #宝山南部目前590w142平米，动迁房.....能住这个面积也是人生赢家了
1698849934# #真心没必要压力那么大，体制内混不下去可以开网约车的，人要快乐生活才是第一位
1703123730# #家在海边的笔记雪最美下雪天雪景无滑雪不冬天笔记灵感烟台暴雪烟台旅...（分享自家在海边的笔记雪最美下雪天雪景无滑雪不冬天笔记灵感烟台暴雪烟台旅...（分享自
1702656649# #我对这首神仙歌曲的排名......请用你最好的耳机听听看....会被惊艳到....便宜的耳机就别去听了。
1691140811# #六号台风还是有一定概率去东北的啊，目前gfs第二次决定报走的韩国曹县到东北
1689760076# #再怎么研究没钱没宽裕点房子很多人都接不了婚，结婚的很多也不生了.....想弄篇小作文提高生育率做梦吧允悲允悲
1692432546# #所有预付款门店都是人傻钱多的主去购买的.....跑路了自认倒霉，自己傻怪不得别人.....
1698153668# #何为就业.....恕我直言，任何一周休不满8天的，每月加班超过30小时的，工资很低的，没有按标准缴纳五险一金的所有工作都不算就业，都是现代社会压榨劳动力的骆驼祥子而已.......真正有效的工作就是严格按劳动法来，只能轻松不能劳累，允许做四休三，绝不允许做六休一....工作超过每个地区的社会平均水
1698621516# #没事，最近一阵美国出现历史上罕见十月强寒潮，大家都暂时躲避严寒呢....就算有抢手也会在被窝睡大觉的
1687444459# #不买房，不挣钱，不读书，不看病，不感恩，不编制幸福，活得不是很自在，不敢随便说真话，下辈子要是投胎北欧三国首都，瑞士，加拿大蒙特利尔，新西兰北岛，澳大利亚悉尼，美国波特兰，旧金山，西雅图，俄罗斯叶卡捷琳娜，荷兰，英国爱丁堡......以上都是人间快乐之地
1689308921# #真的有大学某些专业班级里面四分之一因为挂科拿不到学位证书的吗.....只听说过一个年级里面几个人拿不到证书
1701853307# #20到35岁难就业群体看过来，浦西地铁保安招聘了....缴纳社保哦，做的时间长领取较高养老金没问题....有需要联系。上海地铁安检员➕包吃住➕社保五险（工资65008000元）。。一、地铁安检岗位：。承担地铁有序、安全运⾏的管理和保障⼯作，在地铁沿线各站点内执勤，对乘坐地铁⼈员进⾏必要的安全检查
1704088423# #这种才是一针见血的名言
1703123137# #山东烟台积雪记录....效果堪比堪察加半岛了
1703400491# #朱令案......微博，抖音还存留着一丝讨论的渠道，更多本地bbs直接都是发不出去了，成为敏感词一发就进小黑屋了.....这些bbs可以早点关门了。
1701823923# #熬到2024年五月，就是劳务中介的春天了...一般人最多两年失业金，看看我能不能过试用期吧
1703205646# #我以前电瓶车拉客从周浦到三林只收了人家小姑娘五元我一路上都没说什么.....客客气气的还聊聊家常呢，正常打车需要30元呢
1692272047# #笔者曾经拿着一份考验英语阅读题大概是90年代末的试卷，一共四遍文章，做下来全部对的.....可见当年英语阅读水平有多么深厚，可惜没用派到什么用处......
1699575906# #本周日强冷空气提醒单......降温后进入短暂入冬感受....周日早上到中午强冷空气就开始影响上海了，当天下午气温已经感觉入冬，在10度左右，西北风五六级...周日晚上上海全境气温低于8度....下周一早上西郊最低0到3度之间，近郊最低2到4度，市区公园最低3到5度，市区居民区最低5到6度，早上冬季体感明显
