1695327288# #《雍吉，藏族女孩在舞蹈中快乐无止尽》播放量：5.4万。点赞量：1.1万
1694401523# #《三大债主集体“抛售美债”！》播放量：998。作者：爱较真的科普
1699824046# #《刘伯温只说了一句话600年后吓坏老蒋》刘伯温只说了一句话600年后吓坏老蒋
1689717734# #《南投县长许淑华：继续扎根！延续杭州与南投的友好情谊融融观浙》南投县长许淑华：继续扎根！延续杭州与南投的友好情谊融融观浙
1688515916# #《干涸多年的罗布泊“复活”，水是如何从荒漠中冒出来？碧波荡漾！》播放量：5.3万。点赞量：999绿洲良田
1703604796# #1955年，周总理给粟裕大将授勋的珍贵照片
1691378264# #《老美11个州宣布货币独立，人民币迎来胜利曙光，美元霸权或将终结》播放量：4.6万。点赞量：728
1703286281# #《羽音入肺乐：《牧羊曲》肾属水、在音为羽》播放量：70。作者：音乐疗愈合集
1691278339# #《陈毅进山东六战五败，下属联名要求换帅，毛主席为何坚决不许3》陈毅进山东六战五败，下属联名要求换帅，毛主席为何坚决不许3
1688298563# #《赵匡胤称帝、寿命竟由天定，高人算出时间，却没说出真相！》播放量：12万。点赞量：735陈
1691524977# #《她是王的女人，却经常驰骋沙场，善使一重型武器一般人还不敢用！》她是王的女人，却经常驰骋沙场，善使一重型武器一般人还不敢用！
1691296914# #军费不断攀升凸显美式霸权思维。
1688340564# #《蒙古国总理抵达北京》蒙古国总理抵达北京若让美国军队入外蒙古，中国和俄罗斯将全面围堵它，
1703487906# #《菲律宾发生7.6级地震是不是救援物资在路上了》菲律宾发生7.6级地震是不是救援物资在路上了
1701493608# #潇洒强者心态:名星有钱人企业家捐款，竟然多数都是为了规避保护自
1690254819# #《人类的未来已注定？日本漫画家预言2025年会发生什么？》播放量：297。作者：莉姐探索世界
1701478244# #《中俄重磅联手，世界格局变天，这个世界已经不是老美说的算了》播放量：839。作者：意琳姐说财
1702327507# #《农村60岁以上的老人该怎么养老》播放量：1.4万。点赞量：1431交上土地每月发100元养老，土地集中起来搞大机器化农场（华北平原）
1692216035# #《妻荒的到来，让男人“人心惶惶”，将近有3000万人娶不上媳妇？》妻荒的到来，让男人“人心惶惶”，将近有3000万人娶不上媳妇？
1702037951# #《果敢东归？有人怕啊！孤悬海外百年，同盟军之举震撼人心！》果敢东归？有人怕啊！孤悬海外百年，同盟军之举震撼人心！
1690325493# #《人大代表张宝艳提出，拐卖儿童被判死刑，立即执行》人大代表张宝艳提出，拐卖儿童被判死刑，立即执行支持
1703449982# #明朝灭亡后，有三百明兵不愿投降，居然去了海外建国
1691303457# #《王健林采购福耀玻璃，双方员工吃4万回扣，曹德旺撤掉了总经理3》播放量：9576。作者：科技精英者说
1688286583# #《1972年尼克松访华，为何点名要看39军？毛主席：他心里还是不服》1972年尼克松访华，为何点名要看39军？毛主席：他心里还是不服
1703805374# #《2024年中国的经济，将会迎来新的跨越！新的机会即将到来了！》播放量：7.5万。点赞量：3595
1695562912# #《拜访终南山玄洞道人，住山洞修行多年，非常健谈，知识面也很丰富，年龄实在看不出来》拜访终南山玄洞道人，住山洞修行多年，非常健谈，知识面也很丰富，年龄实在看不出来
1694348772# #俄罗斯人在中国的笔记中国人的勤劳让全世界都望尘莫及！俄罗斯美女外国人在中国外国人说中文（分享自
1696488770# #《亩产高达1006公斤，华伟305为啥产量这么高》播放量：1342。作者：袁老师农技服务
1693048232# #《地主家傻儿子后台更硬了，鸿星尔克守护熊猫七仔，七仔要扩大后宫》播放量：1677。点赞量：73应该积极考虑多给它找几个母熊猫多繁育后代
1691216656# #《哪怕是头猪跟对人也能成佛》播放量：2.9万。点赞量：1168
1701862956# #《中国人做生意的玩法，老外拿什么比？》播放量：3.7万。点赞量：588
1688943625# #《日本火山再次大爆发，阵势堪比美国毒气列车》日本火山再次大爆发，阵势堪比美国毒气列车
1704070816# #《中美枪声一旦响起，35国将助美？北约前最高司令摊牌，5国已签字》中美枪声一旦响起，35国将助美？北约前最高司令摊牌，5国已签字
1703090179# #《山东号航母有异动，31国选择为菲站队，俄印海军率先抵达菲律宾》山东号航母有异动，31国选择为菲站队，俄印海军率先抵达菲律宾
1703709528# #《沉睡万年的中国聚宝盆！塔里木盆地有了新发现，地下藏着大秘密？》播放量：3.8万。点赞量：10151在昆仑山西边扒个口子让印度洋水汽入新疆和中国的大西北，就会降雨雪2在塔里木沙漠有水地方种植桉树泡桐木薯核桃枣巴达木，减少风沙流动3把鄱阳湖洞庭湖运河晒
1687556315# #《蒙古铁骑在欧洲战场所向披靡，为何遇上大明军队就瞬间拉胯了？》蒙古铁骑在欧洲战场所向披靡，为何遇上大明军队就瞬间拉胯了？
1691529279# #《上万华裔科学家，为何都在为老美效力？》播放量：4.4万。点赞量：1571
1688255133# #《我国禁止出境展览文物，商代嵌绿松石象牙杯，来自商王的妻子，女战神妇好之墓。》我国禁止出境展览文物，商代嵌绿松石象牙杯，来自商王的妻子，女战神妇好之墓。能装2斤米酒
1702633620# #《14亿人的钱袋子可能保不住？如果地方财政没钱了，后果不堪设想！》播放量：1.8万。点赞量：782
1696942537# #《上海九龙柱事件奇闻异事流量扶持》播放量：2.3万。点赞量：1652
1692916191# #《美国放虎归山，必将自食恶果！》美国放虎归山，必将自食恶果！
1699951229# #《111.美欧彻底决裂、欧盟多国暴乱》111.美欧彻底决裂、欧盟多国暴乱
1700255064# #《揭秘真实的商纣王！“背锅侠”商纣王帝辛，真的是一个暴君吗？》揭秘真实的商纣王！“背锅侠”商纣王帝辛，真的是一个暴君吗？
1700192471# #《电子行为揭秘：解开宇宙奥秘的钥匙！》电子行为揭秘：解开宇宙奥秘的钥匙！
1692914109# #《亚洲又增一个反美急先锋，公然拒绝美国请求：拒绝成大国博弈炮灰》亚洲又增一个反美急先锋，公然拒绝美国请求：拒绝成大国博弈炮灰
1691622335# #《实拍消防飞机，降落取水过程》播放量：27万。点赞量：1234
1696534487# #许家印被抓，为什么让老百姓买单
1690595351# #《刀郎老师罗刹海市这首歌这到底什么意思？》播放量：3.2万。点赞量：479
1695251229# #《竹子居然能和水稻杂交，中华竹稻，据说煮出来的米有竹子的清香》播放量：22万。点赞量：4.3万芦苇和水稻杂交育种
1695464760# #《因为中美欠费，国际原子能机构将要关门？给出一个建议，去找日本》因为中美欠费，国际原子能机构将要关门？给出一个建议，去找日本倒闭吧！
1696530834# #鼓动沙特远离中国后，美国向普京开出4个条件，让俄罗斯远离中国
1701494731# #潇洒强者心态:教授的声音不能消失郑强教授郑强教授演讲
1696125024# #《刘伯温预言2024年将有圣人降世，他真的会实现吗》播放量：2329。点赞量：91
