1700933996# #老人回忆当年大饥荒！
1702694543# #冲狗子这口牙横着走都不为过
1703679545# #姑娘是受了啥刺激了吗……社会百态
1698151136# #“她是我妈妈，我从她的头发上认出了她。”。。一名巴勒斯坦女孩认出了她在加沙被以色列空袭杀害的母亲。
1697890727# #感同身受！怒
1701218376# #山西省人民政府批复两条国道设置公路收费站！收费标准还不低！
1703758416# #这战斗力还是不行呀！哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1698357621# #老人饭桌上生气摔碗砸盆，老奶奶收拾完重新做了菜。“妈妈这一辈子都是为了我们11个孩子”。
1697503750# #太危险⚠️一路逆行，大桥上撞飞摩托车…
1702963149# #甘肃地震已致111人遇难生命因为家庭才有了意义，爱情因为守护才能长久。一切都因为深深的爱着你！甘肃地震
1694773634# #这是什么疗法？
1703121043# #国外播放量超1亿，点赞超300万的美女坐过山车🎢视频，美女中间的状态有点吓人，看到最后才放心允悲
1704000788# #12月31武汉T254次车17车厢，一男子在座位上挥舞匕首哆啦A梦吃惊哆啦A梦吃惊哆啦A梦吃惊
1702993755# #母猪上房揭瓦，恨好奇是怎么上去的……
1702094252# #关于收费站工作人员“撕证”事件双方已经和解，该管理人员已经向司机道歉并赔偿了司机要求的1元打印费。赞
1693702890# #千万粉丝大网红"秀才"被封了，这台中老年妇女收割机怕是收割了几辈子花不完的财富！
1702087243# #好看的皮囊千篇一律，有趣的灵魂万里挑一。我们可以不富有，但绝不能不快乐呀！
1693702832# #我儿子为了这动作花了我3200…
1703676853# #据外媒报道，12月23日，乌克兰国防部一名高级官员在采购炮弹时涉嫌贪污4000万美元（约2.8亿元人民币）被逮捕。如果罪名成立，这名官员将面临长达15年的监禁。。近几个月，乌克兰国防部爆出各种腐败丑闻，诸如采购不合格防弹背心、以虚高价格购买食品和制服等。让国内百姓感到寒心。网友纷纷评论，如此操
1690973824# #现在大多数景区饭店都是私人承包的吧，那么除了谴责其唯利是图外也不好说什么，处罚那不是影响民营市场经济吗？市场经济行为你情我愿，不愿意你可以不进去换一家不收费的是吧。总之这是市场经济行为跟以前上私人厕所一块钱一个样。都是市场经济卖服务doge
1694472800# #按箭头方向停放！
1696876672# #一段流传的视频爆料，疑似以色列人在摆拍！
1699977917# #哈马斯战场第一视角！
1700935202# #当卧龙遇上凤雏，两个二百五！
1701521780# #男子吃完自助餐还要带走称：我交钱了
1701175200# #食品安全刻不容缓啊，这个不罚，罚卖包子的！
1702953527# #专家解读｜统一执法司法，完善醉驾治理体系。清华大学法学院院长、教授、博士生导师周光权。。最高法、最高检、公安部、司法部联合出台的《关于办理醉酒危险驾驶刑事案件的意见》（以下简称《意见》），是一份非常必要、意义重大的执法司法规范性文件。《意见》对2013年“两高一部”《关于办理醉
1696762150# #10月5日安徽，老鼠的窝安在了电动车里，打开一看，老鼠已经在里面产了崽。汗汗汗
1701685229# #随地大小便害人呀！！
1703203606# #网友求助:我是红色轿车，大家帮忙看看我是不是撞到后面那辆车了，对方车主提供的视频，非说我撞到他的车了…
1700966425# #独裁者的惯用手段：封锁洗脑！
1703503240# #又一起油门当刹车的事故……
1692939646# #韩国人今天在街上抗议日本排放，不得不说这次的韩国人真的蛮刚的啊！！！
1691198292# #男子买的金龙风扇用了37年出现异响。“求助”网友，网友:才37年，你这刚出磨合期！
1692670494# #宁夏固原群众农村户口被强制迁移至石嘴山市，农业户没了，种地确拿不到补贴！
1697864604# #二十年前，真有这样的，一下午搞一桶，现在稻田都看不到泥鳅了允悲
1693816736# #冰河面惊现溺水窒息小男孩几名陌生人及时下水拽出孩子！
1687851750# #【最好的售房广告】287分上本科，如果这两年黑龙江的房子还是卖不动，就不能怪孩子们没帮忙啦！
1701336800# #一老师被网络举报滥用职权暗示性潜规则。长期精神PUA、致严重抑郁女博士不服从竟不让毕业中科院华南植物园回应:涉事老师已报案
1703718243# #很好奇这辆保时捷是怎么看路的……
1690884246# #女大学生自诉被骗缅甸，7天被卖4次！
1701133946# #牢记日本的血海深仇，是每个中国人的出厂设置！
1703219352# #也门胡塞武装总动员！。据俄新社援引“安萨尔安拉”运动政治局的报道，也门北部正在进行总动员，向加沙地带派遣武装人员。。也门胡塞武装建立了训练营，为随时介入加沙冲突做准备。。已有数以万计的青少年自愿学习军事技能。（来源:x原推特）
1698137537# #绝对是扰民啦！支持这位大哥维护社会良好风气。
1687959392# #安全无小事！任何時侯都要有安全意识！否则会酿成大事故！跟新浪看热点
1698146544# #分享图片
1703889324# #中国8亿人负债，4亿人逾期，2000万人拉入了黑名单，真是一个天大的笑话。中国目前为止有14亿人口，18岁以下的贷不了款，60岁以上的贷不了款。不管是欠债、车贷、信用卡，还是人情债的亲朋好友的钱，70后、80后、90后这三代人社会百态财经亿点曝光计划
1702792307# #女童不小心碰到小仙女，道歉后被小仙女连扇耳光，民警出手教小仙女做人。
1697337205# #时间：10月9日。地点：浙江金华。事由：疑因不慎挤压到遥控器，一身穿一个多小时才发现。发布者表示，男子已经不幸身亡。
1690713381# #如果发生战争请祖国放心只要给枪真正的敌人一个也跑不了
1703803988# #正在123界桩避难一名16岁女孩，在前往124界桩附近拾柴期间，误触缅军埋设在当地的地雷，双腿被炸伤，其中右小腿被炸断。希望缅北和平稳定，不再有战争，不再有毒品和诈骗！缅北多地爆发激烈战事
1702221260# #在俄罗斯托木斯克地区，贫民们正在抱怨“医疗的灾难性状况太恐怖了”。城里没有专科医生，救护车早就烂了
1701352542# #没有几吨茅台的阅历，喝不出哪个是茅台！
1690724104# #7月29日，江苏南京。电梯超载一男子是最后上来的不愿意下去，僵持了十几分钟，有人实在忍不了拉扯之中怒扇男子耳光…
1701048107# #兽医从狗狗的嘴里，取出一根很长的木棍。。很好奇它是怎么吞下去的并不简单
1698108605# #单手抓方向盘搭讪…挺危险
1703858418# #国外清理农场，太解压了…
1703941782# #太恐怖了，爆炸了十几声。快过年了，大家一定要注意用电安全。安全用电
1697200988# #微博社区委员会超话我已成功加入微博社区委员会，参与案件众裁行使委员权利，并可拥有委员会专属挂件等特权。快来加入吧&gt;&gt;
1704026547# #00后男子晒出自己41岁妻子，年龄相差20岁十分恩爱……
1701526414# #看孩子不能大意！监控下的一幕！
1703245623# #可视门铃记录下。大叔开门时的可怕一幕
1703127077# #就民族感情来讲，小日子确实遭人恨！但不得不承认他们很多地方还是值得学习的……
1696121634# #约旦某地，老大刚刑满释放，迎接的小弟为了助兴对天空连开数枪，最后收枪时走火击中老大，老大当场身亡！
1702976302# #甘肃地震已致111人遇难航拍青海救援画面：震后大量淤泥涌入村落，有人被困，救援正在进行！甘肃地震
1702047189# #没有这位司机大哥！这醉酒男子还不冻死……衰
1694913830# #有听懂的帮忙翻译一下，到底是郎个回事？
1703164202# #大爷推车过马路小心翼翼，还是被汽车给轧了脚面。网友：视频为证这次站大爷这边！
1695090154# #表演结束完美收场，200到手拿钱就跑！
1697112254# #湖南衡阳乔迁习俗！
1697309319# #真拉货的话，在中国开这个车得赔死
1703727719# #印度北方邦加济阿巴德，一名穆斯林男子效仿伊斯兰教圣人默罕默德，猥亵一名小女孩时被当场抓获……
1702684084# #【吉林一副院长与女护士发生关系致其住进ICU？医院：暂做谣言处理】12月13日，网传吉大三院副院长刘某某与一名女护士发生非正常性关系，致护士住进ICU。15日，该院纪检工作人员表示，不确定真实性，暂做谣言处理。
1703906763# #河北沧州。献县一村支书拟录用为公务员……
1692679343# #第一次听说可以暂停
1690807429# #杨坤这唱功什么水平！
1697025698# #这驾照估计是买的！
1690541277# #这谁剪辑的，太TM有才了！笑cry笑cry笑cry
1690942000# #能让一个女人这么没自尊的下跪求原谅，这究竟是做了什么不可原谅的事情……
1702976672# #甘肃地震已致111人遇难甘肃积石山县6.2级地震前后，乌鸦成群聚集是地震征兆？专家：没有必然关联甘肃地震
1702695513# #河南滑滑梯大学实锤笑哈哈笑哈哈笑哈哈
1700305400# #前段时间白所成现身果敢老街视察工作！
1703472769# #美女吃的是大象鼻子吗……
1690933280# #感觉司机干的挺解气啊！
1690972177# #女子发视频称在医院遇到蒙古大夫，检查结果出来后，医生掏出手机百度，然后一样一样猜，一会血脂问题、一会甲亢、一会肾病……
1703734533# #杀人黄蜂因杀死蜂群中的一只而遭到蜜蜂的攻击，最终惨死…亿点曝光计划
1695778424# #我天朝上国在黄岩岛潟湖入口处设置了300多米的浮动阻拦索，菲律宾海岸警卫队竟然派出蛙人给剪断了，并且捞出来向全世界展示。。这是在捋强国虎须，我们拭目以待。
1701972142# #妻子与情人酒店:开房被丈夫抓到。躲进情人怀里指责老公欺负她。妻子:你欺负我还有理了
1693696925# #一商场举办“睡觉”活动，睡三小时不动奖动两千元，竟然还有带枕头、被子的。
1697695581# #气吞山河，指点江山！
1693921982# #彝族相亲见一面就认可对方喝过“交杯酒”成功多一对金童玉女！
1700141428# #年仅17岁的提邦功王子，身高已经达到了1.8米，泰国第一继承人，霸气回归众人跪拜！
1702629472# #品鉴白酒后参与试驾？蔚来门店回应：酒类品鉴活动已经完全取消！
1703041426# #外卖员晒10月份收入。网友：真实。
1702557118# #人生哪有过不去的坎！任何大事情回过头再来看，都不值得一提！死都不怕，还能怕什么！
1690202376# #齐齐哈尔一中学体育馆坍塌，第10人被救出，消防员用手护住学生的头，高喊:“我们来了啊"跟新浪看热点
1702959622# #放弃中国国籍投靠日本，结果日本不收中国不要，成为夹缝中的黑户纪录片
1689830442# #电视剧来源于生活
1701777972# #刘德华携一家三口出席父亲设灵仪式，送别父亲最后一程，刘老一路走好刘德华父亲逝世
1701781764# #这样才是最真实，没有生鲜灯，这猪肉都不想吃了…国家市场监管总局要求：商家不得使用“生鲜灯”误导消费者，将于2023年12月1日起施行。。现在不开美颜猪肉都有点卖不动，人们习惯了美颜下的猪肉，失去美颜灯的猪肉，人们一时间还不太习惯啦！！。猪肉灯与生鲜灯的区别在于，猪肉灯可以让猪肉看起来更好
