1691404172# #小夭给涂山璟梳头这真的不是婚后生活吗？好甜啊你俩起猛了看到夭璟的婚后生活了
1687850436# #桑稚段嘉许给我亲段嘉许诡计多端的老男人陈哲远饰演的段嘉许诡计多端的老男人，桑稚和段嘉许的极限拉扯好有意思哈哈哈偷偷藏不住
1702521739# #YUNA腰臀比申有娜的腰臀比真的很夸张。美死我抓狂
1699413846# #白鹿最忙的是嘴白鹿从现代亲到古代以爱为营和宁安如梦开播白鹿最忙的是嘴
1700315723# #白鹿卡在跷跷板上了跷跷板上的沙溢白鹿。哈哈哈哈哈哈白鹿卡在跷跷板上了了，谁来救救白梦妍啊哈哈哈哈哈哈哈。
1702187558# #一念关山昭节皇后去世真相任如意得知昭节皇后去世真相原来是被儿子和丈夫背刺了泪泪泪伤心
1697337047# #大家看田耕纪的目的很明确看田耕纪的一些玄学。啊？！这玄学是真的吗这对我很重要（bushidoge
1695615099# #太期待了
1700564800# #侯雯元帅我一脸这竟然是侯雯元。侯哥！！！这还是我认识的侯哥吗？！！！
1690267216# #杨澄和谢乔一见面就吃饭谢乔饭搭子人设不倒杨澄和谢乔见面就吃饭，这不就是妥妥的饭搭子哈哈哈
1686921878# #迪丽热巴有多少手机壳怎么各种风格都这么美啊，一整个绝绝子！！
1689897992# #方逸伦说止渊爱少司命止渊爱少司命止渊我笑死哈哈哈哈
1698816539# #"夸赞之情真挚，友情永恒！辛芷蕾和秦岚的友情真让人羡慕。?秦岚被辛芷蕾夸美的反应"
1689226032# #如何评价龚俊演的韩烨安乐传安乐传
1702780651# #一念关山伤心预警一念关山全员伤心刘诗诗说一念关山不是古偶
1697600340# #陈楚生2024年计划了10场演唱会陈楚生明年有10场演唱会。啊啊啊啊10场！！！已相信！生哥明年见！！
1688299793# #一见茹顾又甜又虐顾九思柳玉茹吻戏顾九思柳玉茹吻戏，一见茹顾又甜又虐
1689748547# #猫爱上蝴蝶的寓意李木戈的心思偷偷藏不住。。没有结果，为爱疯狂……别太虐孟宴臣伤心。。魏大勋超话
1692061014# #电视剧长相思超话原来小夭的红线是祥云牵的小夭的红线是祥云牵的原来小夭的红线是祥云牵的，这是什么梦幻联动啊笑cry笑cry笑cry七时吉祥
1691044597# #张晚意超话张晚意田曦薇居然演过情侣张晚意田曦薇硬汉配甜妹张晚意田曦薇居然演过情侣！咱就是说能不能二搭古装啊
1699347155# #白鹿两部剧同时播出白鹿两部剧对打真的真的，宁安如梦竟然真的空降了，还是在以爱为营刚开播不久，天呐
1691808094# #相柳其实很可爱相柳嘎嘎可爱哈哈哈哈，相柳其实很可爱的还八卦允悲
1689904461# #许沁感动的事孟宴臣都为她做过许沁感谢宋焰舅舅为什么没感谢孟宴臣许沁你难道忘了孟宴臣是怎么担心你照顾你的吗
1691997518# #张艺兴给粉丝伴奏唱北京欢迎你张艺兴演唱会即兴弹唱time北京唱北京一夜，成都站就是成都吗，和你在成都的街头走一走
1690033019# #孟宴臣拆掉蝴蝶墙孟宴臣把蝴蝶墙拆掉了孟宴臣拆掉蝴蝶墙，好伤啊
1692598752# #这个暑假在到处哭这个暑假一直在哭这个暑假一直在哭，哭李相夷哭小夭
1688951502# #孟子义好浪漫孟子义用跳舞的方式和周一围再见孟姐是什么人间小天使，太浪漫了！
1697981904# #魏大勋的手比孟子义脸还长甚至大勋都手都没完全展开允悲
1688429355# #范世錡好像带孩子出来玩儿范世錡好像幼儿园园长有人能管管沈月他们嘛，鞋子都丢了还玩儿呢，要给范世錡愁死
1691899797# #七时吉祥抢婚七时吉祥大婚七时吉祥
1699675777# #宁安如梦第12集宁安如梦12集宁安如梦第12集，姜雪宁的母亲疯了吗。和星汉灿烂里的阿母有的一拼了二哈
1692257810# #女版邓为好好看呀，真美人～性转后的邓为
1703068417# #刘宪华cha了初雪刘宪华初雪cha刘宪华初雪cha来了！！！呜呜呜呜刘宪华你好会跳泪
1703305464# #王一博2024关键词王一博2024跨年关键词永远保持热爱，热烈的一博！！不断的挑战自我
1692493404# #成毅怎么又搞笑又搞黄这期hi6能不能明天就播成毅怎么又搞笑又搞黄的哈哈哈哈，我喜欢舔屏舔屏舔屏
1692702639# #玱玹称帝玱玹成为西炎王恭喜玱玹成为西炎王今晚登基！
1692933002# #徐海乔王丽坤cp感《灼灼风流》徐海乔王丽坤cp感，两个天选古人站一起就好配！
1692256268# #时代少年团发文呼吁不应援你怎么看？时代少年团呼吁粉丝不组织应援
1703988670# #王一博彩排到了凌晨王一博凌晨还在彩排羡慕那些在场外陪伴的摩托姐姐，王一博声音穿透力好强，凌晨还能在场外听到
1691156013# #吴京这是在说谁原来吴京这是在说封神。三年前吴京说的这件事现在终于明白了，原来吴京这是说的封神啊！。
1692176765# #魏大勋最近碎片魏大勋最近碎片～大长腿！魏大勋蓝白拼色外套
1690964516# #莲花楼把我cpu烧没了看莲花楼要长脑子了莲花楼这部剧质感太好了！把我cpu烧没了～而且看莲花楼要长脑子了莲花楼
1689479444# #宋焰许沁多巴胺穿搭杨洋王楚然多巴胺穿搭《我的人间烟火》小情侣多巴胺穿搭，两个人看起来都好清爽啊～可怜
1702605604# #刘诗诗没看过一念关山的正片啊？刘诗诗居然没看过一念关山的正片吃惊啊啊啊啊啊啊
1695611996# #一如既往的帅气！哈哈哈哈哈哈
1691999545# #朴灿烈你不热吗朴灿烈到底在过哪个季节朴灿烈这天穿外套，真的不热吗？好帅啊真的
1687533394# #赵丽颖回应陪跑没拿到奖不代表不够优秀，继续跑总会跑赢
1688458864# #蔡亨源i人直播状态蔡亨源主打一个手忙脚乱这不就是我们i人的日常状态嘛，可怜蔡亨源为爱做e了
1699064718# #时宴迷魂计王鹤棣时宴迷魂计王鹤棣时宴迷魂计?️
1691045094# #封神无剧透版剧透不发姬发的疯发谁的疯封神无剧透版剧透?️
1689562029# #建议把范丞丞打包进现偶曾少年建议把范丞丞打包进现偶
1695440453# #黄轩新片角色这么疯的吗
1694872821# #这个村的人太厉害了吧
1691066412# #刘宇宁的荧幕初吻刘宇宁的荧幕初吻给了刘涛。刘宇宁的荧幕初吻，传说中的整一口～啊啊啊啊刘宇宁的背影！！
1701939449# #张凌赫剪刀手赫德华张凌赫拿了把大剪刀哈哈哈哈哈哈张凌赫拿了把大剪刀
1697009468# #关晓彤今天是真的好忙啊，王牌8官宣、新剧开机，今晚还有新剧开播666关晓彤韩东君拉扯感关晓彤韩东君爱人错过
1688046107# #许嵩好稳啊许嵩拯救了我的耳朵还得是许嵩！好稳啊！
1701948425# #张若昀今天是张高级张若昀大佬出街是谁梦回张高级～大佬出街！！太帅了！
1701839487# #内娱演唱会真唱名场面演唱会真唱名场面那些演唱会真唱名场面
1698900003# #秦岚总是给到满满的情绪价值以为是台北Mary没想到是东北马丽秦岚总是给到满满的情绪价值，嗓子都那样了
1703646378# #李善均和IU演过我的大叔李善均和IU合作过我的大叔李善均原来是和IU演过我的大叔啊
1690893800# #封神未被附身的苏妲己狐妖苏妲己VS苏妲己。狐妖苏妲己VS苏妲己本身，气质都不一样了！。未被附身的苏妲己也绝美！还有那种世家千金的清冷感！
1689126375# #魏大勋和肖战合作过魏大勋和肖战合作过相爱穿梭千年2哈哈哈哈哈哈两个人当时还很稚嫩！
1692757950# #倒退三十年的长相思选角倒退30年的长相思选角倒退三十年的长相思选角
1690179880# #魏大勋参加过蒙面唱将魏大勋唱的男孩魏大勋你会唱就多唱点，唱的这首《男孩》好好听苦涩
1687150119# #偷偷藏不住角色号《偷偷藏不住》角色号来了，桑稚是超可爱的桑只只的暗恋日记，段嘉许就是简单高冷大帅哥！好期待！
1703229780# #木村光希谈和易烊千玺的合作木村光希说易烊千玺很绅士，帅哥美女多合作啊
1699251221# #钟楚曦的演技一直让人惊叹，钟楚曦好多剧啊，每一部都是一个感情的过山车，特别是在北伯侯中，她的表演展现出了第一次在北伯侯身上看到了破碎感。
1695724696# #哈哈哈哈
1687156943# #杉菜这个角色有毒有点担心沈月确实感觉杉菜有毒
1692349783# #成毅孕育角色却不占有角色成毅真的是好演员温柔又有内涵的男人，谁能不爱？质疑ie，理解ie，成为ie哇哇哇
1692324316# #迪丽热巴刘雨昕微博开屏迪丽热巴刘雨昕今日开屏迪丽热巴刘雨昕今日开屏?
1688000124# #你期待博君一肖同台吗你期待王一博肖战同台吗今晚2023湾区升明月，想看肖战王一博同台，能不能圆梦可怜可怜
1697289419# #我替张凌赫感到尴尬哈哈哈哈张凌赫学出了牛叫
1690522993# #李莲花真的有在好好生活李莲花人老实话不多成毅李莲花人老实话不多允悲允悲允悲莲花楼
1703649234# #朴敏英新剧发布会取消李善均去世李善均这件事影响很大啊，原本要今天举行的朴敏英新剧发布会也取消了
1692859420# #还没享福就先享辐了谁是刺身还说不定呢谁是刺身还说不定呢
1687948984# #段嘉许说我想当你男朋友段嘉许支楞起来了偷偷藏不住段嘉许说我想当你男朋友哈哈哈哈偷偷藏不住
1689583469# #古偶有肖战就是了不起肖战请多拍古装肖战天选古代人啊！
1688615040# #杨洋一人养活一座加油站杨洋别看是恶评网友：杨洋一人养活一座加油站，好损
1700373884# #"今晚的遮宁风情万种，每一处都是惊喜！危宁党头们都要笑掉了，这里的热闹程度简直爆表！遮宁今晚be危宁党头都要笑掉了"
1700384483# #边伯贤S13总决赛舞台边伯贤S13总决赛表演边伯贤S13总决赛舞台，造型好酷！
1688991823# #王楚然戴金丝眼镜王楚然戴金丝眼镜姬达狂响王楚然戴金丝眼镜姬达狂响了就是说，好御好A！
1699699712# #陈楚生弹吉他直拍谁能拒绝陈楚生弹吉他。?陈楚生弹吉他陈楚生唱歌都有种让人安静下来的魅力！。
1690963886# #长相思剧粉有自己的聊天方式你们长相思剧粉就是这么做数据的。被长相思剧粉做数据的方式笑死！！！这样真的有用吗哈哈哈哈哈哈哈哈哈张晚意玱玹
1691632432# #封神雷震子居然不是特效可云有救了给可云啊，快快快！！！
1689046140# #魏大勋一觉睡醒变天了魏大勋姐姐严选魏大勋一觉睡醒变天了哈哈哈哈
1688104393# #杨雪也演过童年阴影杨雪把整部剧噶得只剩剧名杨雪也演过童年阴影江玉燕啊，把小鱼儿与花无缺整部剧噶得只剩剧名了
1691818667# #莲花综合症正式确诊为莲花综合症“一念心清净，莲花处处开”
1701953111# #刘诗诗的角色形象总是让人印象深刻，特别是在她扮演的角色中，一念关山今晚高虐，而任如意用血为宁远舟解毒的情节更是令人期待不已！
1698156446# #曾舜晞田曦薇新剧可以he吗田耕纪可以he吗田曦薇和曾舜晞的表演非常出色，田耕纪可以he吗田耕纪
1689120378# #魏大勋粉丝出来干活儿今天的快乐是魏大勋粉丝给的大勋粉丝现在已经瑟瑟发抖了～
1703751873# #王一博好小的脸王一博像戴了个头盔哈哈哈哈哈哈王一博加入朵拉头宇宙！！这个发型真的很难驾驭的，一博脸太小了吧
1698149934# #"发现新的旅行方式：双导游模式！王安宇胡先煦双导游将带领你畅游世界，笑料百出，充满惊喜。王安宇胡先煦当导游满嘴完了"
1689819774# #魏大勋一滴泪天上一颗星魏大勋得眼泪像断了线的珍珠魏大勋的眼泪看的人心都碎了
1699502993# #人生中最美丽的情节之一，莫过于燕临姜雪宁的强制爱。
1701397659# #娜扎要进组了。娜扎要进组了！事业批狂喜！！！
1689409615# #时代少年团新单曲歌名很难评太离谱了，这让楼丝怎么活啊《楼外楼》《躺着真舒服》《大时代》，贵司的取歌名能力真的很难评啊！这是真《抬不起头来》了，sdfj的歌名第一流微笑时代少年团
1689927668# #许沁说国家就不该给假期更讨厌许沁的原因出现了她说国家就不应该给假期，家人们更讨厌许沁的原因出现了
1690461959# #李佳琦也在追长相思。李佳琦也在追长相思，还cue到了邓为，说他超帅想邀请他来直播间。李佳琦想邀请邓为去直播间
1694613070# #原来是这样啊！
1688272520# #Angelababy月如雪Angelababy竟然唱ost了哇哦！还能听baby唱歌！！
1687159964# #白敬亭活该你火白敬亭对粉丝有效回应。白敬亭对粉丝真的都是有效回应，《长风渡》播出，粉丝说bgm太大了白敬亭直播时就cue了看直播的导演和🥝同事，帮剧粉转达！有回应的人真的很暖可怜
1687599360# #白敬亭女团舞评论区全是梁洁笑亖！白敬亭女团舞和梁洁真不相上下，梁洁的命也是命啊哈哈哈哈
1692013827# #张晚意演技开大好爱看玱玹发疯。张晚意演技开大，玱玹疯批起来太爽了！
1698993090# #时宴骑马咱就是说时宴骑马，气场好强！迫不及待想看了以爱为营
1698146447# #"科学研究的力量是无限的，周筱风为林逸展示了这一点。周筱风为林逸把课题方向改成扩心病"。"改变世界的一小步，周筱风的决定是个好例子。周筱风把课题方向改成扩心病"
1691399977# #王楚然新剧与女主适配度是这个原因才找王楚然嘛？王楚然新剧原著女主也爱翻白眼
1701155677# #"朱丹勇敢分享被好友背叛经历，这一段艰难经历锻炼了她的坚强。周一围他超爱她的坚韧与勇气，一起为正能量点赞！朱丹曾被好朋友骗光所有积蓄周一围他超爱"
1689562212# #任敏拍玉骨遥时深夜emo分享歌曲任敏拍玉骨遥疑似ng十多天任敏拍玉骨遥时深夜emo总想爆哭
